Drugname	NCIDS:Phase:Status:Literature
porfimer	NCT00003923:Phase 2:Completed:No publish
amifostine	NCT00003994:Phase 3:Completed:No publish
vincristine	NCT00003994:Phase 3:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT03017326:Phase 3:Recruiting:No publish
exatecan	NCT00004108:Phase 2:Completed:No publish;;NCT00005938:Phase 2:Completed:No publish
tipifarnib	NCT00005842:Phase 1:Completed:Schwartz G, Rowinsky EK, Rha SY, et al.: A phase I, pharmacokinetic, and biologic correlative study of R115777 and trastuzumab (herceptin) in patients with advanced cancer. [Abstract] Proceedings of the American Society of Clinical Oncology 20: A-322, 2001.
thalidomide	NCT00006006:Phase 2:Completed:Schwartz JD, Sung M, Schwartz M, Lehrer D, Mandeli J, Liebes L, Goldenberg A, Volm M. Thalidomide in advanced hepatocellular carcinoma with optional low-dose interferon-alpha2a upon progression. Oncologist. 2005 Oct;10(9):718-27.;;NCT00058487:Phase 2:Completed:Zhu AX, Fuchs CS, Clark JW, Muzikansky A, Taylor K, Sheehan S, Tam K, Yung E, Kulke MH, Ryan DP. A phase II study of epirubicin and thalidomide in unresectable or metastatic hepatocellular carcinoma. Oncologist. 2005 Jun-Jul;10(6):392-8.;;NCT00276705:Phase 2:Unknown status:No publish;;NCT00006198:Phase 2:Unknown status:No publish;;NCT00006016:Phase 2:Completed:No publish;;NCT00728078:Phase 2|Phase 3:Unknown status:Chen MS, Li JQ, Zheng Y, Guo RP, Liang HH, Zhang YQ, Lin XJ, Lau WY. A prospective randomized trial comparing percutaneous local ablative therapy and partial hepatectomy for small hepatocellular carcinoma. Ann Surg. 2006 Mar;243(3):321-8.;;NCT00049296:Phase 1:Completed:Sanborn SL, Cooney MM, Dowlati A, Brell JM, Krishnamurthi S, Gibbons J, Bokar JA, Nock C, Ness A, Remick SC. Phase I trial of docetaxel and thalidomide: a regimen based on metronomic therapeutic principles. Invest New Drugs. 2008 Aug;26(4):355-62. doi: 10.1007/s10637-008-9137-0. Epub 2008 May 10.;;NCT00155272:Phase 1|Phase 2:Unknown status:No publish;;NCT00921531:Phase 3:Unknown status:No publish;;NCT00519688:Phase 2:Completed:No publish
docetaxel	NCT00006010:Phase 2:Completed:Alberts SR, Reid JM, Morlan BW, Farr GH Jr, Camoriano JK, Johnson DB, Enger JR, Seay TE, Kim GP. Gemcitabine and docetaxel for hepatocellular carcinoma: a phase II North Central Cancer Treatment Group clinical trial. Am J Clin Oncol. 2012 Oct;35(5):418-23.;;NCT00049296:Phase 1:Completed:Sanborn SL, Cooney MM, Dowlati A, Brell JM, Krishnamurthi S, Gibbons J, Bokar JA, Nock C, Ness A, Remick SC. Phase I trial of docetaxel and thalidomide: a regimen based on metronomic therapeutic principles. Invest New Drugs. 2008 Aug;26(4):355-62. doi: 10.1007/s10637-008-9137-0. Epub 2008 May 10.;;NCT00002901:Phase 1:Completed:No publish
tetrathiomolybdate	NCT00006332:Phase 2:Completed:No publish
nolatrexed	NCT00012324:Phase 3:Completed:Gish RG, Porta C, Lazar L, Ruff P, Feld R, Croitoru A, Feun L, Jeziorski K, Leighton J, Gallo J, Kennealey GT. Phase III randomized controlled trial comparing the survival of patients with unresectable hepatocellular carcinoma treated with nolatrexed or doxorubicin. J Clin Oncol. 2007 Jul 20;25(21):3069-75.
ondansetron	NCT00016380:Phase 3:Completed:National Cancer Institute of Canada Clinical Trials Group (SC19), Wong RK, Paul N, Ding K, Whitehead M, Brundage M, Fyles A, Wilke D, Nabid A, Fortin A, Wilson D, McKenzie M, Ackerman I, Souhami L, Chabot P, Pater J. 5-hydroxytryptamine-3 receptor antagonist with or without short-course dexamethasone in the prophylaxis of radiation induced emesis: a placebo-controlled randomized trial of the National Cancer Institute of Canada Clinical Trials Group (SC19). J Clin Oncol. 2006 Jul 20;24(21):3458-64.
detoxpc	NCT00019331:Phase 2:Completed:No publish
hydroxyurea	NCT00019474:Phase 2:Unknown status:No publish
o6-benzylguanine	NCT00020150:Phase 1:Completed:Meany HJ, Warren KE, Fox E, Cole DE, Aikin AA, Balis FM. Pharmacokinetics of temozolomide administered in combination with O6-benzylguanine in children and adolescents with refractory solid tumors. Cancer Chemother Pharmacol. 2009 Dec;65(1):137-42. doi: 10.1007/s00280-009-1015-8. Epub 2009 May 9.
folfiri	NCT00020501:Phase 3:Completed:No publish;;NCT00208260:Phase 2|Phase 3:Completed:No publish;;NCT00023868:Phase 3:Completed:No publish
entinostat	NCT00020579:Phase 1:Completed:Ryan QC, Headlee D, Sparreboom A, et al.: A phase I trial of an oral histone deacetylase inhibitor, MS-275, in advanced solid tumor and lymphoma patients. [Abstract] Proceedings of the American Society of Clinical Oncology 22: A-802, 2003.
melphalan	NCT00030082:Phase 1:Completed:No publish;;NCT00001587:Phase 1:Completed:No publish;;NCT00019786:Phase 2:Completed:Feldman AL, Libutti SK, Pingpank JF, Bartlett DL, Beresnev TH, Mavroukakis SM, Steinberg SM, Liewehr DJ, Kleiner DE, Alexander HR. Analysis of factors associated with outcome in patients with malignant peritoneal mesothelioma undergoing surgical debulking and intraperitoneal chemotherapy. J Clin Oncol. 2003 Dec 15;21(24):4560-7.;;NCT00001576:Phase 1:Completed:No publish;;NCT00096083:Phase 2:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00089401:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00019760:Phase 2:Completed:No publish
isolated	NCT00030082:Phase 1:Completed:No publish;;NCT00019786:Phase 2:Completed:Feldman AL, Libutti SK, Pingpank JF, Bartlett DL, Beresnev TH, Mavroukakis SM, Steinberg SM, Liewehr DJ, Kleiner DE, Alexander HR. Analysis of factors associated with outcome in patients with malignant peritoneal mesothelioma undergoing surgical debulking and intraperitoneal chemotherapy. J Clin Oncol. 2003 Dec 15;21(24):4560-7.;;NCT00096083:Phase 2:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00089401:Phase 2:Completed:No publish;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.
ixabepilone	NCT00030108:Phase 1:Completed:Widemann BC, Goodspeed W, Goodwin A, Fojo T, Balis FM, Fox E. Phase I trial and pharmacokinetic study of ixabepilone administered daily for 5 days in children and adolescents with refractory solid tumors. J Clin Oncol. 2009 Feb 1;27(4):550-6. doi: 10.1200/JCO.2008.17.6644. Epub 2008 Dec 15.
7-hydroxystaurosporine	NCT00031681:Phase 1:Completed:No publish
abt-751	NCT00036959:Phase 1:Completed:Fox E, Maris JM, Cohn SL, Goodspeed W, Goodwin A, Kromplewski M, Medina D, Xiong H, Krivoshik A, Widemann B, Adamson PC, Balis FM. Pharmacokinetics of orally administered ABT-751 in children with neuroblastoma and other solid tumors. Cancer Chemother Pharmacol. 2010 Sep;66(4):737-43. doi: 10.1007/s00280-009-1218-z. Epub 2010 Jan 1.
megestrol	NCT00041275:Phase 3:Completed:Chow PK, Machin D, Chen Y, Zhang X, Win KM, Hoang HH, Nguyen BD, Jin MY, Lobo R, Findlay M, Lim CH, Tan SB, Gandhi M, Soo KC; Asia-Pacific Hepatocellular Carcinoma Trials Group. Randomised double-blind trial of megestrol acetate vs placebo in treatment-naive advanced hepatocellular carcinoma. Br J Cancer. 2011 Sep 27;105(7):945-52. doi: 10.1038/bjc.2011.333. Epub 2011 Aug 23.
intravenous	NCT00043433:Phase 2:Unknown status:No publish
bms-247550	NCT00049400:Phase 1:Completed:Current version of study NCT00049400 on ClinicalTrials.gov
t900607	NCT00054262:Phase 2:Completed:No publish
mtc-dox	NCT00054951:Phase 1|Phase 2:Unknown status:No publish;;NCT00041808:Phase 1|Phase 2:Completed:No publish
aroplatin	NCT00057395:Phase 1|Phase 2:Unknown status:No publish
celecoxib	NCT00057980:Phase 1|Phase 2:Completed:No publish;;NCT03059238:Phase 3:Recruiting:Lv N, Kong Y, Mu L, Pan T, Xie Q, Zhao M. Effect of perioperative parecoxib sodium on postoperative pain control for transcatheter arterial chemoembolization for inoperable hepatocellular carcinoma: a prospective randomized trial. Eur Radiol. 2016 Oct;26(10):3492-9. doi: 10.1007/s00330-016-4207-8. Epub 2016 Jan 22.;;NCT00081848:Phase 1:Completed:No publish;;NCT02961998:Phase 4:Completed:No publish;;NCT03403634:Early Phase 1:Recruiting:No publish
epirubicin	NCT00058487:Phase 2:Completed:Zhu AX, Fuchs CS, Clark JW, Muzikansky A, Taylor K, Sheehan S, Tam K, Yung E, Kulke MH, Ryan DP. A phase II study of epirubicin and thalidomide in unresectable or metastatic hepatocellular carcinoma. Oncologist. 2005 Jun-Jul;10(6):392-8.;;NCT00057980:Phase 1|Phase 2:Completed:No publish;;NCT00486356:Phase 1:Completed:No publish;;NCT00021047:Phase 1|Phase 2:Completed:No publish;;NCT00843934:Phase 2|Phase 3:Unknown status:No publish;;NCT00820053:Phase 2:Completed:No publish;;NCT02755311:Phase 3:Unknown status:No publish;;NCT02631499:Phase 4:Not yet recruiting:No publish
boronophenylalanine-fructose	NCT00062348:Phase 1:Completed:Wittig A, Sheu-Grabellus SY, Collette L, Moss R, Brualla L, Sauerwein W. BPA uptake does not correlate with LAT1 and Ki67 expressions in tumor samples (results of EORTC trial 11001). Appl Radiat Isot. 2011 Dec;69(12):1807-12. doi: 10.1016/j.apradiso.2011.02.018. Epub 2011 Feb 16.
gefitinib	NCT00071994:Phase 2:Completed:No publish
mb07133	NCT00073736:Phase 1|Phase 2:Completed:No publish;;NCT00073736:Phase 1|Phase 2:Completed:No publish;;NCT00073736:Phase 1|Phase 2:Completed:No publish;;NCT00073736:Phase 1|Phase 2:Completed:No publish;;NCT00073736:Phase 1|Phase 2:Completed:No publish
forodesine	NCT00073944:Phase 1:Completed:No publish
phy906	NCT00076609:Phase 1|Phase 2:Completed:No publish
tac-101	NCT00077142:Phase 1|Phase 2:Completed:Higginbotham KB, Lozano R, Brown T, Patt YZ, Arima T, Abbruzzese JL, Thomas MB. A phase I/II trial of TAC-101, an oral synthetic retinoid, in patients with advanced hepatocellular carcinoma. J Cancer Res Clin Oncol. 2008 Dec;134(12):1325-35. doi: 10.1007/s00432-008-0406-2. Epub 2008 May 27.
idn-6556	NCT00080236:Phase 2:Completed:No publish
rv-cea(6d)/tricom-rf-cea(6d)/tricom	NCT00081848:Phase 1:Completed:No publish
rf-cea(6d)/tricom	NCT00081848:Phase 1:Completed:No publish
recombinant	NCT00081848:Phase 1:Completed:No publish;;NCT00187109:Phase 1|Phase 2:Completed:No publish;;NCT02662348:Phase 1:Unknown status:No publish;;NCT01869088:Phase 3:Active, not recruiting:Vogl TJ, Trapp M, Schroeder H, Mack M, Schuster A, Schmitt J, Neuhaus P, Felix R. Transarterial chemoembolization for hepatocellular carcinoma: volumetric and morphologic CT criteria for assessment of prognosis and therapeutic success-results from a liver transplantation center. Radiology. 2000 Feb;214(2):349-57.;;NCT03208335:Phase 2:Recruiting:No publish
bortezomib	NCT00083226:Phase 2:Completed:No publish;;NCT00077441:Phase 2:Completed:No publish;;NCT00091117:Phase 1:Completed:No publish
alvocidib	NCT00087282:Phase 2:Completed:No publish;;NCT00012181:Phase 1:Completed:No publish
irinotecan	NCT00087282:Phase 2:Completed:No publish;;NCT00287976:Phase 2:Unknown status:No publish;;NCT00861783:Phase 1:Completed:Jimeno A, Chan A, Cusatis G, Zhang X, Wheelhouse J, Solomon A, Chan F, Zhao M, Cosenza SC, Ramana Reddy MV, Rudek MA, Kulesza P, Donehower RC, Reddy EP, Hidalgo M. Evaluation of the novel mitotic modulator ON 01910.Na in pancreatic cancer and preclinical development of an ex vivo predictive assay. Oncogene. 2009 Jan 29;28(4):610-8. doi: 10.1038/onc.2008.424. Epub 2008 Nov 24.;;NCT00980239:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00143403:Phase 3:Completed:No publish;;NCT00537121:Phase 1:Completed:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00003427:Phase 1:Completed:Kemeny N, Tong W, Gonen M, Stockman J, Di Lauro C, Teitcher J, White P, Price C, Saltz L, Sharma S, Graham MA. Phase I study of weekly oxaliplatin plus irinotecan in previously treated patients with metastatic colorectal cancer. Ann Oncol. 2002 Sep;13(9):1490-6.;;NCT00031681:Phase 1:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT00101270:Phase 1:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00003867:Phase 1:Unknown status:Goel S, Jhawer M, Rajdev L, Hopkins U, Fehn K, Baker C, Chun HG, Makower D, Landau L, Hoffman A, Wadler S, Mani S. Phase I clinical trial of irinotecan with oral capecitabine in patients with gastrointestinal and other solid malignancies. Am J Clin Oncol. 2002 Oct;25(5):528-34.;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00635323:Phase 2:Completed:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT00408551:Phase 2:Unknown status:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00023868:Phase 3:Completed:No publish;;NCT03069950:Phase 2:Recruiting:No publish;;NCT01802645:Phase 2:Recruiting:No publish;;NCT00063960:Phase 2:Completed:No publish;;NCT00557102:Phase 2:Completed:No publish;;NCT00003368:Phase 1:Completed:Venook AP, Enders Klein C, Fleming G, Hollis D, Leichman CG, Hohl R, Byrd J, Budman D, Villalona M, Marshall J, Rosner GL, Ramirez J, Kastrissios H, Ratain MJ. A phase I and pharmacokinetic study of irinotecan in patients with hepatic or renal dysfunction or with prior pelvic radiation: CALGB 9863. Ann Oncol. 2003 Dec;14(12):1783-90.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00037804:Phase 1:Completed:No publish;;NCT00030563:Phase 2:Completed:No publish
ns-9	NCT00094003:Phase 1:Completed:No publish
ispinesib	NCT00095992:Phase 2:Completed:Knox JJ, Gill S, Synold TW, Biagi JJ, Major P, Feld R, Cripps C, Wainman N, Eisenhauer E, Seymour L. A phase II and pharmacokinetic study of SB-715992, in patients with metastatic hepatocellular carcinoma: a study of the National Cancer Institute of Canada Clinical Trials Group (NCIC CTG IND.168). Invest New Drugs. 2008 Jun;26(3):265-72. doi: 10.1007/s10637-007-9103-2. Epub 2008 Jan 15.
lapatinib	NCT00101036:Phase 2:Completed:No publish;;NCT00107536:Phase 2:Completed:Bekaii-Saab T, Markowitz J, Prescott N, Sadee W, Heerema N, Wei L, Dai Z, Papp A, Campbell A, Culler K, Balint C, O'Neil B, Lee RM, Zalupski M, Dancey J, Chen H, Grever M, Eng C, Villalona-Calero M. A multi-institutional phase II study of the efficacy and tolerability of lapatinib in patients with advanced hepatocellular carcinomas. Clin Cancer Res. 2009 Sep 15;15(18):5895-901. doi: 10.1158/1078-0432.CCR-09-0465. Epub 2009 Sep 8.;;NCT02015169:Phase 2:Completed:No publish
doxorubicin/placebo	NCT00108953:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.
131	NCT00116454:Phase 3:Completed:No publish
talaporfin	NCT00122876:Phase 1|Phase 2:Completed:No publish
arsenic	NCT00128596:Phase 2:Completed:No publish;;NCT00024258:Phase 2:Completed:No publish;;NCT02956772:Phase 2:Not yet recruiting:No publish
folinic	NCT00143403:Phase 3:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT01802645:Phase 2:Recruiting:No publish
nv1020	NCT00149396:Phase 1|Phase 2:Completed:No publish
ifn-α2b	NCT00149565:Phase 3:Completed:No publish
perioperative	NCT00168155:Phase 2:Completed:No publish
mitomycin-c,	NCT00183885:Phase 2:Active, not recruiting:No publish
pemetrexed	NCT00191412:Phase 2:Completed:No publish;;NCT00059865:Phase 1|Phase 2:Completed:Alberts SR, Sande JR, Foster NR, Quevedo FJ, McWilliams RR, Kugler JW, Fitch TR, Jaslowski AJ. Pemetrexed and gemcitabine for biliary tract and gallbladder carcinomas: a North Central Cancer Treatment Group (NCCTG) phase I and II Trial, N9943. J Gastrointest Cancer. 2007;38(2-4):87-94. doi: 10.1007/s12029-008-9037-8. Epub 2008 Nov 21.
folfox-4	NCT00208260:Phase 2|Phase 3:Completed:No publish
folfiri-hd	NCT00208260:Phase 2|Phase 3:Completed:No publish
folfox-7	NCT00208260:Phase 2|Phase 3:Completed:No publish
folfirinox	NCT00208260:Phase 2|Phase 3:Completed:No publish
interferon	NCT00234182:Phase 1|Phase 2:Completed:No publish;;NCT00273247:Phase 3:Completed:No publish;;NCT01834963:Phase 2:Recruiting:No publish
cediranib	NCT00238394:Phase 2:Completed:No publish
pi-88	NCT00247728:Phase 2:Completed:No publish
thalidomide,	NCT00250796:Phase 2:Completed:No publish;;NCT00250796:Phase 2:Completed:No publish
octreotide	NCT00257426:Phase 2:Completed:No publish;;NCT00241020:Phase 3:Completed:No publish
adh300004	NCT00264446:Phase 1:Completed:No publish
patupilone	NCT00273312:Phase 2:Completed:Zhou Q, Wong CH, Lau CP, Hui CW, Lui VW, Chan SL, Yeo W. Enhanced Antitumor Activity with Combining Effect of mTOR Inhibition and Microtubule Stabilization in Hepatocellular Carcinoma. Int J Hepatol. 2013;2013:103830. doi: 10.1155/2013/103830. Epub 2013 Feb 20.
cyclophosphamide	NCT00276705:Phase 2:Unknown status:No publish;;NCT03159585:Phase 1:Recruiting:No publish;;NCT02869217:Phase 1:Recruiting:No publish;;NCT01967823:Phase 2:Recruiting:No publish;;NCT00007813:Phase 1:Unknown status:Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.;;NCT00002854:Phase 1:Completed:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT03084380:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT00656123:Phase 1:Unknown status:No publish
e7337	NCT00280410:Phase 2|Phase 3:Completed:No publish
iressa	NCT00282100:Phase 2:Unknown status:No publish
