Drugname	NCIDS:Phase:Status:Literature	Targets
exatecan mesylate	NCT00004108:Phase 2:Completed:No publish;;NCT00005938:Phase 2:Completed:No publish	html not right
fluorouracil (5-fu)	NCT00004142:Phase 2:Completed:No publish	html not right
tipifarnib	NCT00005842:Phase 1:Completed:Schwartz G, Rowinsky EK, Rha SY, et al.: A phase I, pharmacokinetic, and biologic correlative study of R115777 and trastuzumab (herceptin) in patients with advanced cancer. [Abstract] Proceedings of the American Society of Clinical Oncology 20: A-322, 2001.	html not right
thalidomide	NCT00006006:Phase 2:Completed:Schwartz JD, Sung M, Schwartz M, Lehrer D, Mandeli J, Liebes L, Goldenberg A, Volm M. Thalidomide in advanced hepatocellular carcinoma with optional low-dose interferon-alpha2a upon progression. Oncologist. 2005 Oct;10(9):718-27.;;NCT00058487:Phase 2:Completed:Zhu AX, Fuchs CS, Clark JW, Muzikansky A, Taylor K, Sheehan S, Tam K, Yung E, Kulke MH, Ryan DP. A phase II study of epirubicin and thalidomide in unresectable or metastatic hepatocellular carcinoma. Oncologist. 2005 Jun-Jul;10(6):392-8.;;NCT00276705:Phase 2:Unknown status:No publish;;NCT00006198:Phase 2:Unknown status:No publish;;NCT00006016:Phase 2:Completed:No publish;;NCT00728078:Phase 2|Phase 3:Unknown status:Chen MS, Li JQ, Zheng Y, Guo RP, Liang HH, Zhang YQ, Lin XJ, Lau WY. A prospective randomized trial comparing percutaneous local ablative therapy and partial hepatectomy for small hepatocellular carcinoma. Ann Surg. 2006 Mar;243(3):321-8.;;NCT00049296:Phase 1:Completed:Sanborn SL, Cooney MM, Dowlati A, Brell JM, Krishnamurthi S, Gibbons J, Bokar JA, Nock C, Ness A, Remick SC. Phase I trial of docetaxel and thalidomide: a regimen based on metronomic therapeutic principles. Invest New Drugs. 2008 Aug;26(4):355-62. doi: 10.1007/s10637-008-9137-0. Epub 2008 May 10.;;NCT00155272:Phase 1|Phase 2:Unknown status:No publish;;NCT00921531:Phase 3:Unknown status:No publish;;NCT00519688:Phase 2:Completed:No publish	Html not right
docetaxel	NCT00006010:Phase 2:Completed:Alberts SR, Reid JM, Morlan BW, Farr GH Jr, Camoriano JK, Johnson DB, Enger JR, Seay TE, Kim GP. Gemcitabine and docetaxel for hepatocellular carcinoma: a phase II North Central Cancer Treatment Group clinical trial. Am J Clin Oncol. 2012 Oct;35(5):418-23.;;NCT00049296:Phase 1:Completed:Sanborn SL, Cooney MM, Dowlati A, Brell JM, Krishnamurthi S, Gibbons J, Bokar JA, Nock C, Ness A, Remick SC. Phase I trial of docetaxel and thalidomide: a regimen based on metronomic therapeutic principles. Invest New Drugs. 2008 Aug;26(4):355-62. doi: 10.1007/s10637-008-9137-0. Epub 2008 May 10.;;NCT00002901:Phase 1:Completed:No publish	html not right
tetrathiomolybdate	NCT00006332:Phase 2:Completed:No publish	html not right
nolatrexed dihydrochloride	NCT00012324:Phase 3:Completed:Gish RG, Porta C, Lazar L, Ruff P, Feld R, Croitoru A, Feun L, Jeziorski K, Leighton J, Gallo J, Kennealey GT. Phase III randomized controlled trial comparing the survival of patients with unresectable hepatocellular carcinoma treated with nolatrexed or doxorubicin. J Clin Oncol. 2007 Jul 20;25(21):3069-75.	html not right
ondansetron	NCT00016380:Phase 3:Completed:National Cancer Institute of Canada Clinical Trials Group (SC19), Wong RK, Paul N, Ding K, Whitehead M, Brundage M, Fyles A, Wilke D, Nabid A, Fortin A, Wilson D, McKenzie M, Ackerman I, Souhami L, Chabot P, Pater J. 5-hydroxytryptamine-3 receptor antagonist with or without short-course dexamethasone in the prophylaxis of radiation induced emesis: a placebo-controlled randomized trial of the National Cancer Institute of Canada Clinical Trials Group (SC19). J Clin Oncol. 2006 Jul 20;24(21):3458-64.	html not right
detoxpc	NCT00019331:Phase 2:Completed:No publish	html not right
hydroxyurea	NCT00019474:Phase 2:Unknown status:No publish	html not right
doxorubicin hcl liposome	NCT00019630:Phase 1:Completed:No publish	html not right
o6-benzylguanine	NCT00020150:Phase 1:Completed:Meany HJ, Warren KE, Fox E, Cole DE, Aikin AA, Balis FM. Pharmacokinetics of temozolomide administered in combination with O6-benzylguanine in children and adolescents with refractory solid tumors. Cancer Chemother Pharmacol. 2009 Dec;65(1):137-42. doi: 10.1007/s00280-009-1015-8. Epub 2009 May 9.	Html not right
folfiri regimen	NCT00020501:Phase 3:Completed:No publish;;NCT00023868:Phase 3:Completed:No publish	html not right
entinostat	NCT00020579:Phase 1:Completed:Ryan QC, Headlee D, Sparreboom A, et al.: A phase I trial of an oral histone deacetylase inhibitor, MS-275, in advanced solid tumor and lymphoma patients. [Abstract] Proceedings of the American Society of Clinical Oncology 22: A-802, 2003.	html not right
melphalan	NCT00030082:Phase 1:Completed:No publish;;NCT00001587:Phase 1:Completed:No publish;;NCT00019786:Phase 2:Completed:Feldman AL, Libutti SK, Pingpank JF, Bartlett DL, Beresnev TH, Mavroukakis SM, Steinberg SM, Liewehr DJ, Kleiner DE, Alexander HR. Analysis of factors associated with outcome in patients with malignant peritoneal mesothelioma undergoing surgical debulking and intraperitoneal chemotherapy. J Clin Oncol. 2003 Dec 15;21(24):4560-7.;;NCT00001576:Phase 1:Completed:No publish;;NCT00096083:Phase 2:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00089401:Phase 2:Completed:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00019760:Phase 2:Completed:No publish	Html not right
isolated perfusion	NCT00030082:Phase 1:Completed:No publish;;NCT00019786:Phase 2:Completed:Feldman AL, Libutti SK, Pingpank JF, Bartlett DL, Beresnev TH, Mavroukakis SM, Steinberg SM, Liewehr DJ, Kleiner DE, Alexander HR. Analysis of factors associated with outcome in patients with malignant peritoneal mesothelioma undergoing surgical debulking and intraperitoneal chemotherapy. J Clin Oncol. 2003 Dec 15;21(24):4560-7.;;NCT00096083:Phase 2:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00089401:Phase 2:Completed:No publish;;NCT00002692:Phase 3:Unknown status:Current version of study NCT00002692 on ClinicalTrials.gov;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.	html not right
ixabepilone	NCT00030108:Phase 1:Completed:Widemann BC, Goodspeed W, Goodwin A, Fojo T, Balis FM, Fox E. Phase I trial and pharmacokinetic study of ixabepilone administered daily for 5 days in children and adolescents with refractory solid tumors. J Clin Oncol. 2009 Feb 1;27(4):550-6. doi: 10.1200/JCO.2008.17.6644. Epub 2008 Dec 15.	html not right
7-hydroxystaurosporine	NCT00031681:Phase 1:Completed:No publish	html not right
abt-751	NCT00036959:Phase 1:Completed:Fox E, Maris JM, Cohn SL, Goodspeed W, Goodwin A, Kromplewski M, Medina D, Xiong H, Krivoshik A, Widemann B, Adamson PC, Balis FM. Pharmacokinetics of orally administered ABT-751 in children with neuroblastoma and other solid tumors. Cancer Chemother Pharmacol. 2010 Sep;66(4):737-43. doi: 10.1007/s00280-009-1218-z. Epub 2010 Jan 1.	Html not right
megestrol acetate	NCT00041275:Phase 3:Completed:Chow PK, Machin D, Chen Y, Zhang X, Win KM, Hoang HH, Nguyen BD, Jin MY, Lobo R, Findlay M, Lim CH, Tan SB, Gandhi M, Soo KC; Asia-Pacific Hepatocellular Carcinoma Trials Group. Randomised double-blind trial of megestrol acetate vs placebo in treatment-naive advanced hepatocellular carcinoma. Br J Cancer. 2011 Sep 27;105(7):945-52. doi: 10.1038/bjc.2011.333. Epub 2011 Aug 23.	html not right
intravenous t900607-sodium	NCT00043433:Phase 2:Unknown status:No publish	html not right
bms-247550	NCT00049400:Phase 1:Completed:Current version of study NCT00049400 on ClinicalTrials.gov	html not right
t900607	NCT00054262:Phase 2:Completed:No publish	html not right
mtc-dox for injection	NCT00054951:Phase 1|Phase 2:Unknown status:No publish;;NCT00041808:Phase 1|Phase 2:Completed:No publish	html not right
aroplatin (liposomal nddp, l-nddp)	NCT00057395:Phase 1|Phase 2:Unknown status:No publish	html not right
celecoxib	NCT00057980:Phase 1|Phase 2:Completed:No publish;;NCT00081848:Phase 1:Completed:No publish;;NCT02961998:Phase 4:Completed:No publish;;NCT03403634:Early Phase 1:Recruiting:No publish	Html not right
epirubicin hydrochloride	NCT00058487:Phase 2:Completed:Zhu AX, Fuchs CS, Clark JW, Muzikansky A, Taylor K, Sheehan S, Tam K, Yung E, Kulke MH, Ryan DP. A phase II study of epirubicin and thalidomide in unresectable or metastatic hepatocellular carcinoma. Oncologist. 2005 Jun-Jul;10(6):392-8.;;NCT00057980:Phase 1|Phase 2:Completed:No publish;;NCT00486356:Phase 1:Completed:No publish;;NCT00021047:Phase 1|Phase 2:Completed:No publish	html not right
pemetrexed disodium	NCT00059865:Phase 1|Phase 2:Completed:Alberts SR, Sande JR, Foster NR, Quevedo FJ, McWilliams RR, Kugler JW, Fitch TR, Jaslowski AJ. Pemetrexed and gemcitabine for biliary tract and gallbladder carcinomas: a North Central Cancer Treatment Group (NCCTG) phase I and II Trial, N9943. J Gastrointest Cancer. 2007;38(2-4):87-94. doi: 10.1007/s12029-008-9037-8. Epub 2008 Nov 21.	html not right
boronophenylalanine-fructose complex	NCT00062348:Phase 1:Completed:Wittig A, Sheu-Grabellus SY, Collette L, Moss R, Brualla L, Sauerwein W. BPA uptake does not correlate with LAT1 and Ki67 expressions in tumor samples (results of EORTC trial 11001). Appl Radiat Isot. 2011 Dec;69(12):1807-12. doi: 10.1016/j.apradiso.2011.02.018. Epub 2011 Feb 16.	html not right
sodium borocaptate	NCT00062348:Phase 1:Completed:Wittig A, Sheu-Grabellus SY, Collette L, Moss R, Brualla L, Sauerwein W. BPA uptake does not correlate with LAT1 and Ki67 expressions in tumor samples (results of EORTC trial 11001). Appl Radiat Isot. 2011 Dec;69(12):1807-12. doi: 10.1016/j.apradiso.2011.02.018. Epub 2011 Feb 16.	html not right
gefitinib	NCT00071994:Phase 2:Completed:No publish	Html not right
mb07133 300mg/m2/day	NCT00073736:Phase 1|Phase 2:Completed:No publish	html not right
mb07133 600 mg/m2/day	NCT00073736:Phase 1|Phase 2:Completed:No publish	html not right
mb07133 1200 mg/m2/day	NCT00073736:Phase 1|Phase 2:Completed:No publish	html not right
mb07133 1800 mg/m2/day	NCT00073736:Phase 1|Phase 2:Completed:No publish	html not right
mb07133 2400 mg/m2/day	NCT00073736:Phase 1|Phase 2:Completed:No publish	html not right
capecitabine plus gemcitabine	NCT00073905:Phase 2:Completed:Koeberle D, Saletti P, Borner M, Gerber D, Dietrich D, Caspar CB, Mingrone W, Beretta K, Strasser F, Ruhstaller T, Mora O, Herrmann R; Swiss Group for Clinical Cancer Research. Patient-reported outcomes of patients with advanced biliary tract cancers receiving gemcitabine plus capecitabine: a multicenter, phase II trial of the Swiss Group for Clinical Cancer Research. J Clin Oncol. 2008 Aug 1;26(22):3702-8. doi: 10.1200/JCO.2008.16.5704.	html not right
forodesine hydrochloride	NCT00073944:Phase 1:Completed:No publish	html not right
phy906	NCT00076609:Phase 1|Phase 2:Completed:No publish	html not right
tac-101	NCT00077142:Phase 1|Phase 2:Completed:Higginbotham KB, Lozano R, Brown T, Patt YZ, Arima T, Abbruzzese JL, Thomas MB. A phase I/II trial of TAC-101, an oral synthetic retinoid, in patients with advanced hepatocellular carcinoma. J Cancer Res Clin Oncol. 2008 Dec;134(12):1325-35. doi: 10.1007/s00432-008-0406-2. Epub 2008 May 27.	html not right
idn-6556	NCT00080236:Phase 2:Completed:No publish	html not right
rv-cea(6d)/tricom-rf-cea(6d)/tricom	NCT00081848:Phase 1:Completed:No publish	html not right
rf-cea(6d)/tricom	NCT00081848:Phase 1:Completed:No publish	html not right
recombinant fowlpox-gm-csf	NCT00081848:Phase 1:Completed:No publish	html not right
thymalfasin (thymosin alpha-1)	NCT00082082:Phase 2:Completed:No publish	html not right
bortezomib	NCT00083226:Phase 2:Completed:No publish;;NCT00077441:Phase 2:Completed:No publish;;NCT00091117:Phase 1:Completed:No publish	Html not right
alvocidib	NCT00087282:Phase 2:Completed:No publish;;NCT00012181:Phase 1:Completed:No publish	html not right
irinotecan hydrochloride	NCT00087282:Phase 2:Completed:No publish;;NCT00287976:Phase 2:Unknown status:No publish;;NCT00537121:Phase 1:Completed:No publish;;NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT00020501:Phase 3:Completed:No publish;;NCT00654160:Phase 1:Completed:No publish;;NCT00003427:Phase 1:Completed:Kemeny N, Tong W, Gonen M, Stockman J, Di Lauro C, Teitcher J, White P, Price C, Saltz L, Sharma S, Graham MA. Phase I study of weekly oxaliplatin plus irinotecan in previously treated patients with metastatic colorectal cancer. Ann Oncol. 2002 Sep;13(9):1490-6.;;NCT00031681:Phase 1:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT00101270:Phase 1:Completed:No publish;;NCT00003867:Phase 1:Unknown status:Goel S, Jhawer M, Rajdev L, Hopkins U, Fehn K, Baker C, Chun HG, Makower D, Landau L, Hoffman A, Wadler S, Mani S. Phase I clinical trial of irinotecan with oral capecitabine in patients with gastrointestinal and other solid malignancies. Am J Clin Oncol. 2002 Oct;25(5):528-34.;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00023868:Phase 3:Completed:No publish;;NCT00063960:Phase 2:Completed:No publish;;NCT00557102:Phase 2:Completed:No publish;;NCT00003368:Phase 1:Completed:Venook AP, Enders Klein C, Fleming G, Hollis D, Leichman CG, Hohl R, Byrd J, Budman D, Villalona M, Marshall J, Rosner GL, Ramirez J, Kastrissios H, Ratain MJ. A phase I and pharmacokinetic study of irinotecan in patients with hepatic or renal dysfunction or with prior pelvic radiation: CALGB 9863. Ann Oncol. 2003 Dec;14(12):1783-90.;;NCT00003753:Phase 2:Completed:No publish;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00030563:Phase 2:Completed:No publish	html not right
lyso-thermosensitive liposomal doxorubicin	NCT00093444:Phase 1:Completed:No publish	html not right
ns-9 [poly i: poly c]	NCT00094003:Phase 1:Completed:No publish	html not right
ispinesib	NCT00095992:Phase 2:Completed:Knox JJ, Gill S, Synold TW, Biagi JJ, Major P, Feld R, Cripps C, Wainman N, Eisenhauer E, Seymour L. A phase II and pharmacokinetic study of SB-715992, in patients with metastatic hepatocellular carcinoma: a study of the National Cancer Institute of Canada Clinical Trials Group (NCIC CTG IND.168). Invest New Drugs. 2008 Jun;26(3):265-72. doi: 10.1007/s10637-007-9103-2. Epub 2008 Jan 15.	html not right
lapatinib ditosylate	NCT00101036:Phase 2:Completed:No publish;;NCT00107536:Phase 2:Completed:Bekaii-Saab T, Markowitz J, Prescott N, Sadee W, Heerema N, Wei L, Dai Z, Papp A, Campbell A, Culler K, Balint C, O'Neil B, Lee RM, Zalupski M, Dancey J, Chen H, Grever M, Eng C, Villalona-Calero M. A multi-institutional phase II study of the efficacy and tolerability of lapatinib in patients with advanced hepatocellular carcinomas. Clin Cancer Res. 2009 Sep 15;15(18):5895-901. doi: 10.1158/1078-0432.CCR-09-0465. Epub 2009 Sep 8.	html not right
sorafenib (nexavar, bay43-9006)	NCT00105443:Phase 3:Completed:Llovet JM, Ricci S, Mazzaferro V, Hilgard P, Gane E, Blanc JF, de Oliveira AC, Santoro A, Raoul JL, Forner A, Schwartz M, Porta C, Zeuzem S, Bolondi L, Greten TF, Galle PR, Seitz JF, Borbath I, Häussinger D, Giannaris T, Shan M, Moscovici M, Voliotis D, Bruix J; SHARP Investigators Study Group. Sorafenib in advanced hepatocellular carcinoma. N Engl J Med. 2008 Jul 24;359(4):378-90. doi: 10.1056/NEJMoa0708857.;;NCT00044512:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.;;NCT00494299:Phase 3:Completed:Kudo M, Imanaka K, Chida N, Nakachi K, Tak WY, Takayama T, Yoon JH, Hori T, Kumada H, Hayashi N, Kaneko S, Tsubouchi H, Suh DJ, Furuse J, Okusaka T, Tanaka K, Matsui O, Wada M, Yamaguchi I, Ohya T, Meinhardt G, Okita K. Phase III study of sorafenib after transarterial chemoembolisation in Japanese and Korean patients with unresectable hepatocellular carcinoma. Eur J Cancer. 2011 Sep;47(14):2117-27. doi: 10.1016/j.ejca.2011.05.007.;;NCT00901901:Phase 3:Completed:No publish;;NCT00855218:Phase 2:Completed:No publish;;NCT00492752:Phase 3:Completed:Cheng AL, Kang YK, Chen Z, Tsao CJ, Qin S, Kim JS, Luo R, Feng J, Ye S, Yang TS, Xu J, Sun Y, Liang H, Liu J, Wang J, Tak WY, Pan H, Burock K, Zou J, Voliotis D, Guan Z. Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2009 Jan;10(1):25-34. doi: 10.1016/S1470-2045(08)70285-7. Epub 2008 Dec 16.	html not right
sorafenib (nexavar, bay43-9006) plus doxorubicin	NCT00108953:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.	html not right
doxorubicin/placebo	NCT00108953:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.	html not right
131 i-lipiodol	NCT00116454:Phase 3:Completed:No publish	html not right
talaporfin sodium	NCT00122876:Phase 1|Phase 2:Completed:No publish	html not right
arsenic trioxide	NCT00128596:Phase 2:Completed:No publish;;NCT00024258:Phase 2:Completed:No publish;;NCT02956772:Phase 2:Not yet recruiting:No publish	html not right
irinotecan + 5 fu + folinic acid	NCT00143403:Phase 3:Completed:No publish	html not right
folinic acid + 5 fu	NCT00143403:Phase 3:Completed:No publish	html not right
nv1020	NCT00149396:Phase 1|Phase 2:Completed:No publish	html not right
ifn-α2b	NCT00149565:Phase 3:Completed:No publish	html not right
cetuximab and folfiri	NCT00153998:Phase 2:Completed:No publish	html not right
cetuximab and folfox	NCT00153998:Phase 2:Completed:No publish	html not right
perioperative chemotherapy	NCT00168155:Phase 2:Completed:No publish	html not right
