NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT01182272	Unknown status	No Results Available	Drug: sorafenib tosylate|Other: laboratory biomarker analysis|Procedure: neoadjuvant therapy|Procedure: therapeutic conventional surgery	Antiangiogenic effects of sorafenib tosylate|Significant pathological changes|Pathologic findings in sorafenib tosylate pre-treated patients undergoing surgical resection for hepatocellular carcinoma|Number of R0 resections|Correlations between baseline patient characteristics, cancer biomarkers, and outcome variables and resected tumors|Plasma biomarkers at baseline, day 28, and the day before surgery|Safety profile of sorafenib tosylate|Tolerance of liver resection after sorafenib tosylate treatment	Phase 2	https://ClinicalTrials.gov/show/NCT01182272
NCT01075113	Active, not recruiting	No Results Available	Drug: sorafenib tosylate|Drug: vorinostat	Determine the appropriate Doses for the combination of sorafenib tosylate and vorinostat appropriate for phase II study in hepatocellular carcinoma (HCC).|Adverse events will be characterized in terms of nature, severity, attribution, onset and resolution according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) v4.0.|Anti-tumor effects of the combination of sorafenib tosylate and vorinostat	Phase 1	https://ClinicalTrials.gov/show/NCT01075113
NCT01005199	Completed	No Results Available	Drug: everolimus|Drug: sorafenib tosylate	Progression-free survival|Objective response|Disease stabilization (DS)|Duration of disease stabilization|Progression-free survival (PFS)|Time to progression (TTP)|Overall survival|Adverse events at baseline and during trial treatment|Serum alpha fetoprotein (AFP) level|Viral reactivation in patients with chronic hepatitis B or C virus infection|Correlation between vitamin B12 and overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT01005199
NCT02292173	Recruiting	No Results Available	Drug: Trametinib|Drug: Sorafenib	Maximum Tolerated Dose (MTD)|Progression Free Survival (PFS)|Response Rate|Overall Survival (OS)	Phase 1	https://ClinicalTrials.gov/show/NCT02292173
NCT00881751	Completed	Has Results	Biological: bevacizumab|Drug: erlotinib hydrochloride|Drug: sorafenib tosylate	Overall Survival|Event-free Survival|Number of SAEs Experienced|Response Rate	Phase 2	https://ClinicalTrials.gov/show/NCT00881751
NCT03143270	Recruiting	No Results Available	Drug: Drug Eluting Bead Transarterial Chemoembolization|Drug: Nivolumab	Number of participants with treatment-related adverse events as assessed by CTCAE v4.0	Early Phase 1	https://ClinicalTrials.gov/show/NCT03143270
NCT00875615	Completed	Has Results	Drug: Carboplatin|Drug: Cisplatin|Drug: Sorafenib	Number of Subjects Experiencing Adverse Events|Number of Patients Achieving Clinical Benefit	Phase 2	https://ClinicalTrials.gov/show/NCT00875615
NCT01011010	Completed	No Results Available	Drug: doxorubicin hydrochloride|Drug: mitomycin C|Drug: sorafenib tosylate|Other: laboratory biomarker analysis|Other: pharmacological study	Safety and toxicity as assessed by NCI CTCAE v3.0 criteria|Overall survival|Correlative studies	Phase 1	https://ClinicalTrials.gov/show/NCT01011010
NCT01075555	Completed	No Results Available	Drug: pravastatin sodium|Drug: sorafenib tosylate	Overall survival|Progression-free survival|Time to progression|Quality of life	Phase 3	https://ClinicalTrials.gov/show/NCT01075555
NCT00410956	Active, not recruiting	No Results Available	Biological: bevacizumab|Drug: dexamethasone|Drug: floxuridine|Genetic: protein expression analysis|Other: flow cytometry|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Other: immunologic technique|Other: laboratory biomarker analysis|Procedure: dynamic contrast-enhanced magnetic resonance imaging	Antitumor efficacy (complete and partial response, stable and progressive disease)|Toxicity as measured by NCI Common Toxicity Criteria	Phase 2	https://ClinicalTrials.gov/show/NCT00410956
NCT00956930	Completed	No Results Available	Radiation: yttrium Y 90 glass microspheres|Drug: Doxorubicin	Time to progression in patients treated with TACE and Y90|Characterize the safety and toxicity profile of these regimens|Determine tumor response and the need for subsequent treatment in these patients|Characterize change in quality of life and performance status in these patients	Phase 2	https://ClinicalTrials.gov/show/NCT00956930
NCT00870558	Completed	No Results Available	Drug: ethiodized oil|Radiation: iodine I 131 ethiodized oil	Tumor recurrence at 2 years	Phase 3	https://ClinicalTrials.gov/show/NCT00870558
NCT00941967	Unknown status	No Results Available	Drug: gemcitabine hydrochloride|Drug: oxaliplatin|Drug: sorafenib tosylate	Tumor response according to RECIST criteria|Progression-free survival	Phase 2	https://ClinicalTrials.gov/show/NCT00941967
NCT00003424	Completed	No Results Available	Drug: tamoxifen citrate		Phase 3	https://ClinicalTrials.gov/show/NCT00003424
NCT00514228	Completed	No Results Available	Drug: sunitinib malate	Progression-free survival|Objective response|Disease stabilization (DS)|Duration of DS|Time to progression|Overall survival|Adverse events as assessed by NCI CTCAE v3.0|Serum alpha fetoprotein level	Phase 2	https://ClinicalTrials.gov/show/NCT00514228
NCT00483405	Completed	Has Results	Biological: cetuximab|Drug: capecitabine|Drug: oxaliplatin	Disease Response Rate|Number of Subjects Experiencing Adverse Events|Overall Survival|Time to Progression	Phase 2	https://ClinicalTrials.gov/show/NCT00483405
NCT00467194	Completed	No Results Available	Drug: Rapamycin|Drug: Bevacizumab	Dose-limiting toxicity|Maximum tolerated dose|Response rate (complete and partial response and stable disease)|Progression-free survival|Overall survival|Distribution of p70S6K activity in peripheral blood mononuclear cells|Correlation of p70S6K with tumor response|Expression of tumor tissue biomarkers (PTEN, 4EBP-1, CD31, p70S6K, and vascular endothelial growth factor)|Correlation of tumor biomarkers with response|Best overall response (complete and partial response; stable and progressive disease)|Change in DCE-CT scan assessment of angiogenesis	Phase 1	https://ClinicalTrials.gov/show/NCT00467194
NCT00004248	Completed	No Results Available	Biological: aldesleukin|Drug: doxorubicin hydrochloride		Phase 2	https://ClinicalTrials.gov/show/NCT00004248
NCT00054262	Completed	No Results Available	Drug: T900607		Phase 2	https://ClinicalTrials.gov/show/NCT00054262
NCT00257426	Completed	No Results Available	Drug: octreotide acetate	Median survival|number of subjects with toxicities	Phase 2	https://ClinicalTrials.gov/show/NCT00257426
NCT00335829	Completed	Has Results	Biological: bevacizumab|Drug: chemotherapy|Drug: embolization therapy|Procedure: hepatic artery infusion	Median Progression-free Survival|Time to Tumor Progression (TTP) of Targeted Lesions|TTP of Nontargeted Lesions Within the Liver|Overall TTP|TTP Rate at 6 Months and 1 Year|Overall Survival (OS)|Response Rate - Based on Response Evaluation Criteria in Solid Tumors (RECIST)|Response Rate - Based on Tumor Enhancement|Safety and Treatment Toxicity - Cycle 1 Pre-TACE|Safety and Treatment Toxicity - Cycle 1 Post-TACE|Safety and Treatment Toxicity - Cycles 2 and 3	Phase 2	https://ClinicalTrials.gov/show/NCT00335829
NCT00041275	Completed	No Results Available	Drug: megestrol acetate	Survival measured weekly|Quality of life as measured by EORTC quality of life instrument monthly	Phase 3	https://ClinicalTrials.gov/show/NCT00041275
NCT00030082	Completed	No Results Available	Drug: isolated perfusion|Drug: melphalan		Phase 1	https://ClinicalTrials.gov/show/NCT00030082
NCT00095992	Completed	No Results Available	Drug: ispinesib	Response|Toxicity|Pharmacokinetics at day 1 of course 1 (day 1 of course 2 if dose is adjusted)|Molecular correlates on archival tumor specimens and peripheral blood mononuclear cells (PBMCs)	Phase 2	https://ClinicalTrials.gov/show/NCT00095992
NCT00109954	Completed	No Results Available	Drug: cisplatin|Radiation: brachytherapy|Radiation: yttrium Y 90 glass microspheres	Progression-free survival as assessed by tumor progression in the treated lobe of the liver|Health-related quality of life at baseline and every 3 months|Toxicity as measured by NCI CTCAE version 3.0	Phase 3	https://ClinicalTrials.gov/show/NCT00109954
NCT00058487	Completed	No Results Available	Drug: epirubicin hydrochloride|Drug: thalidomide	Antitumor activity|Toxic effects	Phase 2	https://ClinicalTrials.gov/show/NCT00058487
NCT00825955	Completed	No Results Available	Drug: Brivanib|Other: Placebo|Procedure: Best Supportive Care	To compare overall survival of subjects with advanced HCC who have progressed on/after or are intolerant to Sorafenib and receive Brivanib plus best supportive care (BSC) to those receiving placebo plus BSC|To compare time to progression (TTP) (Investigator assessed using modified Response Evaluation Criteria In Solid Tumors (RECIST) for HCC criteria)|To compare the Independent Radiological Review Committee (IRRC) assessed objective response rate (ORR) and disease control rate (DCR) using modified RECIST for HCC criteria|To assess duration of response, duration of disease control and time to response|To assess safety profile of brivanib. Safety will be assessed by the number of adverse events (AEs), serious adverse events (SAEs), periodic data monitoring committee (DMC) review	Phase 3	https://ClinicalTrials.gov/show/NCT00825955
NCT00006010	Completed	No Results Available	Drug: docetaxel|Drug: gemcitabine hydrochloride	six-month overall survival|tumor response|time to progression	Phase 2	https://ClinicalTrials.gov/show/NCT00006010
NCT00004108	Completed	No Results Available	Drug: exatecan mesylate		Phase 2	https://ClinicalTrials.gov/show/NCT00004108
NCT00012324	Completed	No Results Available	Drug: doxorubicin hydrochloride|Drug: nolatrexed dihydrochloride	Overall survival|Time to progression|Time to treatment failure|Response rate (complete response, partial response, stable disease)|Survival probabilities at 3, 6, 9, and 12 months|Safety|Response to treatment in patients with and without prior therapy	Phase 3	https://ClinicalTrials.gov/show/NCT00012324
NCT00576199	Completed	Has Results	Drug: Bevacizumab|Procedure: Transarterial chemoembolisation (TACE)	Progression-free Survival|Percentage of Participants With an Objective Response|Time to Progression|Overall Survival|Percentage of Participants With a Best Overall Response of Complete Response, Partial Response, or Stable Disease|Tumor Necrosis	Phase 2	https://ClinicalTrials.gov/show/NCT00576199
NCT00471484	Unknown status	No Results Available	Biological: recombinant interferon alfa-2b|Drug: doxorubicin hydrochloride|Drug: fluorouracil|Drug: oxaliplatin|Other: diagnostic laboratory biomarker analysis|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Procedure: adjuvant therapy|Procedure: biopsy|Procedure: neoadjuvant therapy|Procedure: therapeutic conventional surgery	Objective tumor response rate as measured by RECIST criteria|Serum VEGF levels|Tissue VEGF expression	Phase 2	https://ClinicalTrials.gov/show/NCT00471484
NCT00079027	Unknown status	No Results Available	Drug: doxorubicin hydrochloride|Procedure: hepatic artery embolization	Overall survival|Overall response|Quality of life as assessed by EORTC QOL QLQ-30 and EORTC QLQ HCC18 at baseline and 10 and 24 weeks|Time to progression as assessed by RECIST criteria|Toxicity|Health economics|Proteomic and immunological analysis	Phase 3	https://ClinicalTrials.gov/show/NCT00079027
NCT00276705	Unknown status	No Results Available	Drug: cisplatin|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: thalidomide|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy	Event-free and overall survival following tumor resection|Efficacy and tolerability following course 2 and 4 of pre-operative chemotherapy	Phase 2	https://ClinicalTrials.gov/show/NCT00276705
NCT00047229	Completed	No Results Available	Biological: oblimersen sodium|Drug: doxorubicin hydrochloride	Rate of objective response (complete and partial)|Stable disease rate|Duration of response|Progression-free survival rate|Median survival rate|Overall survival rate|Safety and tolerability	Phase 2	https://ClinicalTrials.gov/show/NCT00047229
NCT03037437	Recruiting	No Results Available	Drug: Sorafenib (SOR)|Drug: Hydroxychloroquine (HCQ)	Time to tumor progression evaluated via tumor imaging	Phase 2	https://ClinicalTrials.gov/show/NCT03037437
NCT02181075	Completed	No Results Available	Drug: lyso-thermosensitive liposomal (LTSL) doxorubicin	To determine whether targeted release of doxorubicin from ThermoDox® ('drug') using mild hyperthermia generated noninvasively by focused ultrasound (FUS) is feasible in cancer patients|(Part I only) To determine optimal FUS exposure parameters for a range of participant Body Mass Indices (BMIs) and tumour locations within the liver|(Part II Only) To assess the safety of FUS-induced mild hyperthermia for drug delivery without real-time thermometry|To assess the local and systemic cytotoxic effects of ThermoDox® in this setting	Phase 1	https://ClinicalTrials.gov/show/NCT02181075
NCT00997022	Completed	No Results Available	Drug: Sorafenib	Maximum tolerated dose of daily sorafenib|Duration of disease free survival|Duration of progression free survival	Phase 1	https://ClinicalTrials.gov/show/NCT00997022
NCT02829359	Completed	No Results Available	Drug: Entecavir therapy	Rate of HBV reactivation|HBV reactivation on the recovery of liver function	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02829359
NCT01754987	Completed	No Results Available	Drug: Ascorbic Acid + Sorafenib|Drug: Sorafenib	Safety|Efficacy|Quality of Life|Survival	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01754987
NCT03397654	Not yet recruiting	No Results Available	Drug: Pembrolizumab|Combination Product: Trans-arterial chemoembolization	Incidence of treatment-emergent adverse events (safety and tolerability)|Improvement of progression-free survival rate (PFSR; efficacy)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT03397654
NCT01264705	Unknown status	No Results Available	Drug: bavituximab and sorafenib	Safety as measured by the number of participants with adverse events.|Time to Progression (phase II)as measured by abdominal magnetic resonance imaging.|Overall Survival.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01264705
NCT00706576	Completed	No Results Available	Drug: Infusion of opioid growth factor	Number of participants with opioid growth factor toxicity|Change in plasma opioid growth factor levels	Phase 1	https://ClinicalTrials.gov/show/NCT00706576
NCT00006198	Unknown status	No Results Available	Drug: thalidomide|Procedure: chemoembolization with doxorubicin/collagen		Phase 2	https://ClinicalTrials.gov/show/NCT00006198
NCT00813293	Active, not recruiting	No Results Available	Drug: Sorafenib|Procedure: radiofrequency ablation	To prospectively investigate if sorafenib increases the effectiveness of RFA.|To describe the safety and feasibility of sorafenib prior to RFA.|To explore the relationship between MRI and RFA effectiveness|To investigate tumor tissue for changes after sorafenib and to assess for RFA predictors	Phase 2	https://ClinicalTrials.gov/show/NCT00813293
NCT00374660	Unknown status	No Results Available	Drug: Irofulven + oxaliplatin	Confirmed response rate: Hepatocellular Cancer (HCC) Cohort: Response Evaluation Criteria in Solid Tumors (RECIST) criteria.|Hormone Refractory Prostate Cancer (HRPC) Cohort: Prostate-Specific Antigen Working Group Recommendations (PSAWGR) and RECIST criteria.|Efficacy: HRPC Cohort: confirmed response rate according to RECIST; progression-free survival (PFS) for progression according to RECIST; new bone lesions or skeletal events; PFS according to PSA progression; overall survival.|Efficacy: HCC cohort - PFS (RECIST); overall survival	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00374660
NCT00057980	Completed	No Results Available	Drug: celecoxib|Drug: epirubicin hydrochloride	Maximum tolerated dose of epirubicin|Response rate|Survival at 6 months|Overall survival|Toxicity profile|Serum vascular endothelial growth factor levels in correlation to response|Cyclooxygenase-2 expression in tumor tissue and nonmalignant liver tissue in correlation to response	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00057980
NCT01395030	Active, not recruiting	No Results Available	Diagnostic Test: Computed Tomography|Drug: 18F-fluoromethylcholine|Other: Laboratory Biomarker Analysis|Diagnostic Test: Positron Emission Tomography	Operating characteristics of kinetic and static PET measures of tumor FCH metabolism|Identification of cancer signaling pathways associated with choline metabolism|Clinical liver disease severity|Ability of corresponding gene expression signatures to predictively model HCC disease outcome	Phase 2	https://ClinicalTrials.gov/show/NCT01395030
NCT00652132	Completed	No Results Available	Drug: cisplatin|Drug: sodium thiosulfate	Rate of Brock grade ≥ 1 hearing loss|Response to preoperative chemotherapy|Complete resection|Complete remission|Event-free survival (EFS)|Overall survival (OS)|Toxicity as graded by CTCAE v 3.0|Long-term renal clearance|Feasibility of central audiology review	Phase 3	https://ClinicalTrials.gov/show/NCT00652132
NCT00006016	Completed	No Results Available	Drug: thalidomide|Drug: doxorubicin hydrochloride|Other: laboratory biomarker analysis	Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00006016
NCT01236690	Unknown status	No Results Available	Drug: Cinobufacin injection	The evaluation of the patient's respondence for the therapy is carried out every phase, according to RECIST:CR,PR,SD and PD.	Phase 2	https://ClinicalTrials.gov/show/NCT01236690
NCT00365391	Completed	Has Results	Biological: bevacizumab|Drug: erlotinib hydrochloride	Number of Patients With Confirmed Tumor Response Defined to be Either a Complete Response (CR) or Partial Response (PR).|Survival Time|Time to Disease Progression|Duration of Response|Time to Treatment Failure	Phase 2	https://ClinicalTrials.gov/show/NCT00365391
NCT02862587	Recruiting	No Results Available	Drug: Chemotherapy|Biological: precision cells	Overall survival|Progress-free survival|Quality of life	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02862587
NCT00052364	Completed	No Results Available	Drug: oxaliplatin|Other: laboratory biomarker analysis	Response rate evaluated using the Response Evaluation Criteria in Solid Tumors (RECIST)|Time to progression|Duration of overall survival|Progression-free survival	Phase 2	https://ClinicalTrials.gov/show/NCT00052364
NCT00003907	Completed	Has Results	Drug: cisplatin|Drug: doxorubicin|Drug: mitomycin|Procedure: embolization	Time to Progression|Tumor Response|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00003907
NCT01497444	Active, not recruiting	No Results Available	Drug: hypoxia-activated prodrug TH-302|Drug: sorafenib tosylate	Number of dose-limiting toxicity incidents as assessed by CTCAE version 4.0 (Phase I)|MTD of sorafenib tosylate and TH-302 (Phase I)|Overall response rate (Phase II)|Adverse events as assessed by NCI CTCAE version 4.0 (Phase II)|Overall response rate based on standard RECIST criteria (Phase II)|Duration of response based on modified (standard) RECIST criteria (Phase II)|PFS (Phase II)|OS (Phase II)|AFP response rate (Phase II)	Phase 1	https://ClinicalTrials.gov/show/NCT01497444
NCT00093444	Completed	No Results Available	Drug: lyso-thermosensitive liposomal doxorubicin|Procedure: radiofrequency ablation	Maximum tolerated dose of heat-activated doxorubicin HCL liposome|Pharmacokinetics and pharmacodynamics of heat-activated doxorubicin HCL liposome at 15, 30, 45, 60, 75, and 90 minutes; 2, 3, 4, 6, 24, and 46 hours; and 4 and 8 days following infusion|Effects of ablative therapy on tumor blood flow and tumor vascular density as measured by MRI at 28 days following study completion	Phase 1	https://ClinicalTrials.gov/show/NCT00093444
NCT00287976	Unknown status	No Results Available	Drug: irinotecan hydrochloride	Best overall response (complete response and partial response)|Early progression|Death|Disease progression or recurrence|Surgical resection (complete or incomplete)	Phase 2	https://ClinicalTrials.gov/show/NCT00287976
NCT01932385	Completed	No Results Available	Drug: Sorafenib|Other: Best Supportive Care	progression free survival and overall survival|response rate	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT01932385
NCT00077389	Unknown status	No Results Available	Drug: carboplatin|Drug: cisplatin|Drug: doxorubicin hydrochloride|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy	Rate of complete remission after completion of study therapy|Complete resection rate|Response rate to preoperative chemotherapy|Rate of grade 2 cardiac and renal, grade 3 otological, and grade 4 nonhematological toxicity as assessed during and after completion of study therapy|Overall survival|Event-free survival	Phase 2	https://ClinicalTrials.gov/show/NCT00077389
NCT02649153	Recruiting	No Results Available	Drug: smoked plum|Drug: gum chewing	Time to first peristalsis	Phase 3	https://ClinicalTrials.gov/show/NCT02649153
NCT03164382	Recruiting	No Results Available	Drug: FOLFOX regimen|Drug: Sorafenib 200Mg Tab	Overall survival|Time to Progression|Time to Intrahepatic tumor Progression	Phase 3	https://ClinicalTrials.gov/show/NCT03164382
NCT00242502	Completed	Has Results	Drug: Bevacizumab (Avastin)|Drug: Erlotinib	Progression-free Survival (PFS) Rate	Phase 2	https://ClinicalTrials.gov/show/NCT00242502
NCT02471313	Completed	No Results Available	Drug: [18F] FMISO	Uptake of [18F]-MISO with cross-sectional imaging	Phase 2	https://ClinicalTrials.gov/show/NCT02471313
NCT00861783	Completed	No Results Available	Drug: irinotecan and ON 01910.Na|Drug: oxaliplatin and ON 01910.Na	maximum tolerated dose|pharmacokinetics|tumor measurement	Phase 1	https://ClinicalTrials.gov/show/NCT00861783
NCT03184493	Recruiting	No Results Available	Drug: Celebrex plus Metformin|Drug: Celebrex|Drug: Metformin	Number of participants with tumor recurrence	Phase 3	https://ClinicalTrials.gov/show/NCT03184493
NCT00282100	Unknown status	No Results Available	Drug: Iressa	To study the changes of selected genetic or protein markers through the treatment and find out whether some of them can be potential biomarkers for disease relapse.|To evaluate the effect of gefitinib as an adjuvant therapy on recurrence free survival in patients with resectable hepatocellular carcinoma; to evaluate the treatment toxities of genifitib.	Phase 2	https://ClinicalTrials.gov/show/NCT00282100
NCT02239900	Active, not recruiting	No Results Available	Drug: Ipilimumab|Radiation: Stereotactic Body Radiation Therapy (SBRT)	Maximum Tolerated Dose (MTD) of Ipilimumab and Stereotactic Body Radiation Therapy (SBRT)|Response Rate of Ipilimumab and Stereotactic Body Radiation Therapy (SBRT)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02239900
NCT02646137	Recruiting	No Results Available	Drug: Transarterial chemoembolization (TACE)|Procedure: Radiofrequency ablation combined with TACE|Procedure: Microwave ablation combined with TACE	Number of patients with successful ablation	Phase 3	https://ClinicalTrials.gov/show/NCT02646137
NCT03215355	Not yet recruiting	No Results Available	Drug: Primovist	Improved image quality after injection as determined by contrast-to-background calculation and expert observation.|Toxicity with "off label" dosing	Phase 4	https://ClinicalTrials.gov/show/NCT03215355
NCT01042041	Completed	No Results Available	Drug: sorafenib tosylate|Drug: doxorubicin hydrochloride|Drug: cisplatin|Drug: mitomycin C|Procedure: transarterial chemoembolization|Procedure: hepatic artery embolization	Dose adjustment, number and percentage of subjects with adverse events, laboratory changes, number and percentage of subjects with laboratory values that are outside the pre-determined ranges, cumulative toxicity, and TLT.|Time to Disease Progression	Phase 1	https://ClinicalTrials.gov/show/NCT01042041
NCT02029157	Completed	No Results Available	Drug: ARQ197|Drug: Placebo	Progression-free survival (PFS)|Overall survival	Phase 3	https://ClinicalTrials.gov/show/NCT02029157
