Clinname	Result
NCT00081848	No publish
NCT03533582	No publish
NCT01775501	No publish
NCT00960557	No publish
NCT01782573	No publish
NCT00183885	No publish
NCT00732836	No publish
NCT01642186	No publish
NCT01306058	No publish
NCT01666756	No publish
NCT02191878	No publish
NCT00149396	No publish
NCT00304135	Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.
NCT00096083	No publish
NCT01640808	No publish
NCT00575523	No publish
NCT00059865	Alberts SR, Sande JR, Foster NR, Quevedo FJ, McWilliams RR, Kugler JW, Fitch TR, Jaslowski AJ. Pemetrexed and gemcitabine for biliary tract and gallbladder carcinomas: a North Central Cancer Treatment Group (NCCTG) phase I and II Trial, N9943. J Gastrointest Cancer. 2007;38(2-4):87-94. doi: 10.1007/s12029-008-9037-8. Epub 2008 Nov 21.
NCT02575339	No publish
NCT02044224	No publish
NCT01213030	No publish
NCT00441376	No publish
NCT00122876	No publish
NCT01525069	No publish
NCT00101036	No publish
NCT02016391	No publish
NCT01665937	No publish
NCT00143403	No publish
NCT00003296	No publish
NCT00003557	No publish
NCT00537121	No publish
NCT00659022	No publish
NCT00009893	Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.
NCT00005938	No publish
NCT01502410	No publish
NCT01313377	No publish
NCT00363584	No publish
NCT00437424	No publish
NCT03159585	No publish
NCT00844883	No publish
NCT03316222	No publish
NCT02273362	No publish
NCT02650375	No publish
NCT03107416	No publish
NCT01835223	No publish
NCT00999843	No publish
NCT01819961	No publish
NCT01658878	No publish
NCT03572582	No publish
NCT01437007	No publish
NCT03203304	No publish
NCT00988195	No publish
NCT02081755	No publish
NCT02101593	No publish
NCT02069041	No publish
NCT01298284	No publish
NCT01936233	No publish
NCT01204177	No publish
NCT00920192	No publish
NCT01972503	No publish
NCT03439891	No publish
NCT00877071	No publish
NCT02576964	No publish
NCT03199274	No publish
NCT00999882	No publish
NCT00746317	No publish
NCT00073905	Koeberle D, Saletti P, Borner M, Gerber D, Dietrich D, Caspar CB, Mingrone W, Beretta K, Strasser F, Ruhstaller T, Mora O, Herrmann R; Swiss Group for Clinical Cancer Research. Patient-reported outcomes of patients with advanced biliary tract cancers receiving gemcitabine plus capecitabine: a multicenter, phase II trial of the Swiss Group for Clinical Cancer Research. J Clin Oncol. 2008 Aug 1;26(22):3702-8. doi: 10.1200/JCO.2008.16.5704.
NCT01564810	No publish
NCT00976170	No publish
NCT01540461	No publish
NCT01004978	No publish
NCT02968810	No publish
NCT01015833	No publish
NCT00906373	No publish
NCT03278925	No publish
NCT00980460	No publish
NCT00327652	No publish
NCT00094003	No publish
NCT00567216	No publish
NCT00003923	No publish
NCT01766219	No publish
NCT01217034	No publish
NCT02767375	Korean Liver Cancer Study Group (KLCSG); National Cancer Center, Korea (NCC). 2014 Korean Liver Cancer Study Group-National Cancer Center Korea practice guideline for the management of hepatocellular carcinoma. Korean J Radiol. 2015 May-Jun;16(3):465-522. doi: 10.3348/kjr.2015.16.3.465. Epub 2015 May 13.
NCT01655641	Mannucci PM, Levi M. Prevention and treatment of major blood loss. N Engl J Med. 2007 May 31;356(22):2301-11. Review.
NCT00986661	No publish
NCT01171924	No publish
NCT01562821	Shao YF, Yang JM, Chau GY, Sirivatanauksorn Y, Zhong SX, Erhardtsen E, Nivatvongs S, Lee PH. Safety and hemostatic effect of recombinant activated factor VII in cirrhotic patients undergoing partial hepatectomy: a multicenter, randomized, double-blind, placebo-controlled trial. Am J Surg. 2006 Feb;191(2):245-9.
NCT02528526	No publish
NCT01307878	No publish
NCT00486356	No publish
NCT01075399	No publish
NCT01423708	No publish
NCT02240433	No publish
NCT00872014	No publish
NCT00355238	No publish
NCT00553332	Bekaii-Saab T, Phelps MA, Li X, Saji M, Goff L, Kauh JS, O'Neil BH, Balsom S, Balint C, Liersemann R, Vasko VV, Bloomston M, Marsh W, Doyle LA, Ellison G, Grever M, Ringel MD, Villalona-Calero MA. Multi-institutional phase II study of selumetinib in patients with metastatic biliary cancers. J Clin Oncol. 2011 Jun 10;29(17):2357-63. doi: 10.1200/JCO.2010.33.9473. Epub 2011 Apr 25.
NCT00019630	No publish
NCT02842125	No publish
NCT01347424	No publish
NCT00661622	No publish
NCT01743469	No publish
NCT00021047	No publish
NCT00103298	No publish
NCT00089401	No publish
NCT00020501	No publish
NCT02174575	No publish
NCT03058289	No publish
NCT02435433	No publish
NCT01214343	No publish
NCT00712855	No publish
NCT00054951	No publish
NCT03419897	No publish
NCT03412773	No publish
NCT00019474	No publish
NCT00187109	No publish
NCT00987766	No publish
NCT02869217	No publish
NCT00107536	Bekaii-Saab T, Markowitz J, Prescott N, Sadee W, Heerema N, Wei L, Dai Z, Papp A, Campbell A, Culler K, Balint C, O'Neil B, Lee RM, Zalupski M, Dancey J, Chen H, Grever M, Eng C, Villalona-Calero M. A multi-institutional phase II study of the efficacy and tolerability of lapatinib in patients with advanced hepatocellular carcinomas. Clin Cancer Res. 2009 Sep 15;15(18):5895-901. doi: 10.1158/1078-0432.CCR-09-0465. Epub 2009 Sep 8.
NCT01120288	No publish
NCT01394497	D'Amico F, Vitale A, Piovan D, Bertacco A, Ramirez Morales R, Chiara Frigo A, Bassi D, Bonsignore P, Gringeri E, Valmasoni M, Garbo G, Lodo E, D'Amico FE, Scopelliti M, Carraro A, Gambato M, Brolese A, Zanus G, Neri D, Cillo U. Use of N-acetylcysteine during liver procurement: a prospective randomized controlled study. Liver Transpl. 2013 Feb;19(2):135-44. doi: 10.1002/lt.23527. Epub 2012 Sep 26.
NCT01967823	No publish
NCT00033462	No publish
NCT03253289	No publish
NCT00516165	No publish
NCT00716976	No publish
NCT00654160	No publish
NCT01498952	No publish
NCT00024258	No publish
NCT00041808	No publish
NCT00007813	Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.
NCT00002515	No publish
NCT00036959	Fox E, Maris JM, Cohn SL, Goodspeed W, Goodwin A, Kromplewski M, Medina D, Xiong H, Krivoshik A, Widemann B, Adamson PC, Balis FM. Pharmacokinetics of orally administered ABT-751 in children with neuroblastoma and other solid tumors. Cancer Chemother Pharmacol. 2010 Sep;66(4):737-43. doi: 10.1007/s00280-009-1218-z. Epub 2010 Jan 1.
NCT02145559	No publish
NCT00003427	Kemeny N, Tong W, Gonen M, Stockman J, Di Lauro C, Teitcher J, White P, Price C, Saltz L, Sharma S, Graham MA. Phase I study of weekly oxaliplatin plus irinotecan in previously treated patients with metastatic colorectal cancer. Ann Oncol. 2002 Sep;13(9):1490-6.
NCT00019331	No publish
NCT00019513	No publish
NCT01042691	No publish
NCT03347292	No publish
NCT02042443	No publish
NCT03199586	No publish
NCT00303940	Meany H, Balis FM, Aikin A, Whitcomb P, Murphy RF, Steinberg SM, Widemann BC, Fox E. Pediatric phase I trial design using maximum target inhibition as the primary endpoint. J Natl Cancer Inst. 2010 Jun 16;102(12):909-12. doi: 10.1093/jnci/djq174. Epub 2010 May 11.
NCT02431676	No publish
NCT02094625	No publish
NCT00105443	Llovet JM, Ricci S, Mazzaferro V, Hilgard P, Gane E, Blanc JF, de Oliveira AC, Santoro A, Raoul JL, Forner A, Schwartz M, Porta C, Zeuzem S, Bolondi L, Greten TF, Galle PR, Seitz JF, Borbath I, Häussinger D, Giannaris T, Shan M, Moscovici M, Voliotis D, Bruix J; SHARP Investigators Study Group. Sorafenib in advanced hepatocellular carcinoma. N Engl J Med. 2008 Jul 24;359(4):378-90. doi: 10.1056/NEJMoa0708857.
NCT02662348	No publish
NCT00617981	No publish
NCT00020150	Meany HJ, Warren KE, Fox E, Cole DE, Aikin AA, Balis FM. Pharmacokinetics of temozolomide administered in combination with O6-benzylguanine in children and adolescents with refractory solid tumors. Cancer Chemother Pharmacol. 2009 Dec;65(1):137-42. doi: 10.1007/s00280-009-1015-8. Epub 2009 May 9.
NCT00030108	Widemann BC, Goodspeed W, Goodwin A, Fojo T, Balis FM, Fox E. Phase I trial and pharmacokinetic study of ixabepilone administered daily for 5 days in children and adolescents with refractory solid tumors. J Clin Oncol. 2009 Feb 1;27(4):550-6. doi: 10.1200/JCO.2008.17.6644. Epub 2008 Dec 15.
NCT00666978	No publish
NCT00273312	Zhou Q, Wong CH, Lau CP, Hui CW, Lui VW, Chan SL, Yeo W. Enhanced Antitumor Activity with Combining Effect of mTOR Inhibition and Microtubule Stabilization in Hepatocellular Carcinoma. Int J Hepatol. 2013;2013:103830. doi: 10.1155/2013/103830. Epub 2013 Feb 20.
NCT00534001	No publish
NCT00365508	No publish
NCT02529774	No publish
NCT02316028	No publish
NCT00031681	No publish
NCT00397384	No publish
NCT00030498	No publish
NCT01643499	No publish
NCT03329950	No publish
NCT00892424	No publish
NCT02557490	No publish
NCT02015169	No publish
NCT02380131	No publish
NCT00208260	No publish
NCT00608361	No publish
NCT01322178	No publish
NCT01763450	No publish
NCT00630045	No publish
NCT00501605	No publish
NCT00806663	No publish
NCT02082210	No publish
NCT01010126	No publish
NCT02465112	No publish
NCT02453490	No publish
NCT01425879	No publish
NCT03493048	No publish
NCT03493061	No publish
NCT01456078	No publish
NCT01511146	No publish
NCT01384994	No publish
NCT01186263	No publish
NCT01469572	No publish
NCT00707681	No publish
NCT00153998	No publish
NCT03500874	No publish
NCT02070549	No publish
NCT01858207	No publish
NCT01203787	No publish
NCT01959061	No publish
NCT00264446	No publish
NCT00044512	Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.
NCT00557557	No publish
NCT00101270	No publish
NCT00091182	No publish
NCT00012181	No publish
NCT01442935	No publish
NCT00200200	No publish
NCT02947165	No publish
NCT01008917	No publish
NCT02086656	No publish
NCT03195699	No publish
NCT00790218	No publish
NCT01035385	No publish
NCT03053466	No publish
NCT01962376	No publish
NCT02754856	No publish
NCT01387295	No publish
NCT01260415	No publish
NCT00234182	No publish
NCT01387373	No publish
NCT02172651	No publish
NCT01348412	No publish
NCT00743678	No publish
NCT00997685	No publish
NCT03428477	No publish
NCT00852228	No publish
NCT02151864	No publish
NCT02006030	No publish
NCT01488487	No publish
NCT00866944	No publish
NCT00108953	Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.
NCT00494299	Kudo M, Imanaka K, Chida N, Nakachi K, Tak WY, Takayama T, Yoon JH, Hori T, Kumada H, Hayashi N, Kaneko S, Tsubouchi H, Suh DJ, Furuse J, Okusaka T, Tanaka K, Matsui O, Wada M, Yamaguchi I, Ohya T, Meinhardt G, Okita K. Phase III study of sorafenib after transarterial chemoembolisation in Japanese and Korean patients with unresectable hepatocellular carcinoma. Eur J Cancer. 2011 Sep;47(14):2117-27. doi: 10.1016/j.ejca.2011.05.007.
NCT00156975	No publish
NCT01149304	Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.
NCT03590119	No publish
NCT02727309	No publish
NCT00168155	No publish
NCT03582618	No publish
NCT02363049	No publish
NCT03326791	No publish
NCT01334112	No publish
NCT01777594	No publish
NCT01232296	No publish
NCT02988440	No publish
NCT00247728	No publish
NCT02939807	No publish
NCT02508467	No publish
NCT01171651	No publish
NCT01721941	No publish
NCT03366155	No publish
NCT02942329	No publish
NCT01869088	Vogl TJ, Trapp M, Schroeder H, Mack M, Schuster A, Schmitt J, Neuhaus P, Felix R. Transarterial chemoembolization for hepatocellular carcinoma: volumetric and morphologic CT criteria for assessment of prognosis and therapeutic success-results from a liver transplantation center. Radiology. 2000 Feb;214(2):349-57.
NCT01102335	No publish
NCT03029988	No publish
NCT03299946	No publish
NCT00956436	No publish
NCT01908426	No publish
NCT03230318	No publish
NCT02018757	No publish
NCT01348256	No publish
NCT00692770	Bruix J, Takayama T, Mazzaferro V, Chau GY, Yang J, Kudo M, Cai J, Poon RT, Han KH, Tak WY, Lee HC, Song T, Roayaie S, Bolondi L, Lee KS, Makuuchi M, Souza F, Berre MA, Meinhardt G, Llovet JM; STORM investigators. Adjuvant sorafenib for hepatocellular carcinoma after resection or ablation (STORM): a phase 3, randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2015 Oct;16(13):1344-54. doi: 10.1016/S1470-2045(15)00198-9. Epub 2015 Sep 8.
NCT00827554	No publish
NCT00057395	No publish
NCT03008512	No publish
NCT02112656	No publish
NCT02959151	No publish
NCT01417546	No publish
NCT03291379	No publish
NCT03189992	No publish
NCT00538850	Rauck R, Reynolds L, Geach J, Bull J, Stearns L, Scherlis M, Parikh N, Dillaha L. Efficacy and safety of fentanyl sublingual spray for the treatment of breakthrough cancer pain: a randomized, double-blind, placebo-controlled study. Curr Med Res Opin. 2012 May;28(5):859-70. doi: 10.1185/03007995.2012.683111. Epub 2012 May 2.
NCT00274885	No publish
NCT00016380	National Cancer Institute of Canada Clinical Trials Group (SC19), Wong RK, Paul N, Ding K, Whitehead M, Brundage M, Fyles A, Wilke D, Nabid A, Fortin A, Wilson D, McKenzie M, Ackerman I, Souhami L, Chabot P, Pater J. 5-hydroxytryptamine-3 receptor antagonist with or without short-course dexamethasone in the prophylaxis of radiation induced emesis: a placebo-controlled randomized trial of the National Cancer Institute of Canada Clinical Trials Group (SC19). J Clin Oncol. 2006 Jul 20;24(21):3458-64.
NCT02204930	No publish
NCT00003867	Goel S, Jhawer M, Rajdev L, Hopkins U, Fehn K, Baker C, Chun HG, Makower D, Landau L, Hoffman A, Wadler S, Mani S. Phase I clinical trial of irinotecan with oral capecitabine in patients with gastrointestinal and other solid malignancies. Am J Clin Oncol. 2002 Oct;25(5):528-34.
NCT02867592	No publish
NCT00019760	No publish
NCT03257761	No publish
NCT00005860	No publish
NCT00003548	No publish
NCT00720174	No publish
NCT00049296	Sanborn SL, Cooney MM, Dowlati A, Brell JM, Krishnamurthi S, Gibbons J, Bokar JA, Nock C, Ness A, Remick SC. Phase I trial of docetaxel and thalidomide: a regimen based on metronomic therapeutic principles. Invest New Drugs. 2008 Aug;26(4):355-62. doi: 10.1007/s10637-008-9137-0. Epub 2008 May 10.
NCT00002854	No publish
NCT00250796	No publish
NCT02580253	No publish
NCT03592264	No publish
NCT03035006	No publish
NCT03439761	No publish
NCT03475953	No publish
NCT02423343	No publish
NCT02759601	No publish
NCT02102022	No publish
NCT02178722	No publish
NCT01631552	No publish
NCT02638857	No publish
NCT01752920	No publish
NCT01177397	No publish
NCT00073736	No publish
NCT00328770	No publish
NCT03563170	No publish
NCT03499626	No publish
NCT02115373	No publish
NCT01988493	No publish
NCT03203005	No publish
NCT03130712	No publish
NCT03084380	No publish
NCT03071094	No publish
NCT02859324	No publish
NCT02795429	No publish
NCT02772029	No publish
NCT02715362	No publish
NCT02650271	Ke Y, Ma L, You XM, Huang SX, Liang YR, Xiang BD, Li LQ, Zhong JH. Antiviral therapy for hepatitis B virus-related hepatocellular carcinoma after radical hepatectomy. Cancer Biol Med. 2013 Sep;10(3):158-64. doi: 10.7497/j.issn.2095-3941.2013.03.006.
NCT02642913	No publish
NCT02584556	No publish
NCT02560779	No publish
NCT02534337	No publish
NCT00005842	Schwartz G, Rowinsky EK, Rha SY, et al.: A phase I, pharmacokinetic, and biologic correlative study of R115777 and trastuzumab (herceptin) in patients with advanced cancer. [Abstract] Proceedings of the American Society of Clinical Oncology 20: A-322, 2001.
NCT00010023	Chen TT, Ryan T, Potmesil M, et al.: Cisplatin/capecitabine: tolerance and activity in patients with upper gastrointestinal cancers. [Abstract] American Society of Clinical Oncology 2004 Gastrointestinal Cancers Symposium, 22-24 January 2004, San Francisco, CA. A-53, 2004.
NCT00020579	Ryan QC, Headlee D, Sparreboom A, et al.: A phase I trial of an oral histone deacetylase inhibitor, MS-275, in advanced solid tumor and lymphoma patients. [Abstract] Proceedings of the American Society of Clinical Oncology 22: A-802, 2003.
NCT00398814	Preliminary results / Journal of Clinical Oncology, 2008 ASCO Annual Meeting Proceedings (Post-Meeting Edition). Vol 26, No 15S (May 20 Supplement), 2008: 16024
NCT02400788	No publish
NCT02279719	No publish
NCT02240771	No publish
NCT01271504	No publish
NCT02645981	No publish
NCT02024087	No publish
NCT02013778	No publish
NCT01906216	No publish
NCT00768937	No publish
NCT01747642	No publish
NCT02229071	No publish
NCT00561522	No publish
NCT00882869	No publish
NCT01438450	No publish
NCT01406574	No publish
NCT02465060	No publish
NCT01116635	No publish
NCT00946153	No publish
NCT02129322	No publish
NCT03289533	No publish
NCT01251458	No publish
NCT00843934	No publish
NCT00784290	No publish
NCT00731445	No publish
NCT00933816	No publish
NCT00819650	No publish
NCT00820053	No publish
NCT03044587	No publish
NCT00155272	No publish
NCT03511222	No publish
NCT03515369	No publish
NCT03539822	No publish
NCT03507998	No publish
NCT00273247	No publish
