gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注	liver_drug
ARID2		8.20%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
ARID2	mut	3.40%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
ARID2	mut	13.00%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
ARID2		7.40%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	None
ARID2	mut	62/928 (6.7)	Chromatin remodeling	26099984	Review	4.91	2015	86		None
ARID2	mut	5.8%(7/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
ARID2	mut	3-18%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None
CDKN2A	mut	6-30%		27838634	Review	5.03	2017	8		Palbociclib
CDKN2A	(STV)CNV	11.3%(34/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Palbociclib
CDKN2A	mut	8.00%	cell cycle control	27262756	Review	7.43	2016	12		Palbociclib
CDKN2A	mut	2.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Palbociclib
CDKN2A	del	13.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Palbociclib
CDKN2A		6.00%		.	.	.	.	.	来源于cosmic	Palbociclib
CDKN2A	mut,homo del	8.50%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Palbociclib
CDKN2A		3-4%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Palbociclib
CDKN2A	CNV,epigenetic silencing	47.00%		28297679		8.4	2017	8	仅在第一阶段出现	Palbociclib
CDKN2A	del，mut	7.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Palbociclib
CDKN2A	mut	13/928 (1.4)	p53/cell cycle control	26099984	Review	4.91	2015	86		Palbociclib
CDKN2A	del	4.7%（26/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86		Palbociclib
CDKN2A	homo del	2-12%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Palbociclib
RB1		0-14%		27838634	Review	5.03	2017	8		Palbociclib
RB1	SNP、Indel、SV	5.7%（17/300）		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Palbociclib
RB1	mut/del	8.00%	cell cycle control	27262756	Review	7.43	2016	12		Palbociclib
RB1	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Palbociclib
RB1	del	19.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Palbociclib
RB1		3.00%		.	.	.	.	.	来源于cosmic	Palbociclib
RB1	mut,homo del	3.80%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Palbociclib
RB1		4.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Palbociclib
RB1	mut	2.80%	Cell cycle	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Palbociclib
RB1	mut	5.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Palbociclib
RB1	mut	3%（28/928）	p53/cell cycle control	26099984	Review	4.91	2015	86		Palbociclib
RB1	del	3.7%（20/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86		Palbociclib
RB1	homo del	3-8%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Palbociclib
AXIN1	mut	9-13%	Wnt signaling	27838634	Review	5.03	2017	8		None
AXIN1	mut	4.7%(14/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
AXIN1	mut	11.00%	WNT Signalling	27262756	Review	7.43	2016	12		None
AXIN1	mut	8.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
AXIN1		18.00%		.	.	.	.	.	来源于cosmic	None
AXIN1	mut,homo del	11.10%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
AXIN1		7.50%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
AXIN1	mut	10.00%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
AXIN1	mut	45/928 (4.8)*	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None
AXIN1	del	16/547 (2.9)	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None
AXIN1	mut	5-15%	Wnt/β-catenin	26099527	Review	7.67	2015	77		None
CTNNB1	mut	20-40%	Wnt signaling	27838634	Review	5.03	2017	8		None
CTNNB1	mut	24%(72/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
CTNNB1	mut	30.00%	WNT Signalling	27262756	Review	7.43	2016	12		None
CTNNB1	mut	27.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
CTNNB1		19.00%		.	.	.	.	.	来源于cosmic	None
CTNNB1	mut	37.40%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
CTNNB1		28.60%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
CTNNB1	mut	1.30%	WNT signalling	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
CTNNB1	mut	~30%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
CTNNB1	mut	26.3%（244/928）	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None
CTNNB1	mut	11-37%	Wnt/β-catenin	26099527	Review	7.67	2015	77		None
PIK3CA	mut	2.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA		0-35%		27838634	Review	5.03	2017	8		Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA		3.00%		.	.	.	.	.	来源于cosmic	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	1.70%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA		2.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	4.50%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	5.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	14/928 (1.5)	Ras/PI3K/mTOR pathway	26099984	Review	4.91	2015	86		Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PIK3CA	mut	0-2%	Akt/mtor	26099527	Review	7.67	2015	77		Cetuximab;Dabrafenib;Everolimus;MK2206;Trastuzumab
PTEN		3.00%		27838634	Review	5.03	2017	8		Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	mut	4.3%(13/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	del	7.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	mut,homo del	3.40%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN		2.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	mut	2.60%	RAS/RAF kinase	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	del，mut	3.00%	PIK3-mTOR	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	mut	9/928 (1)	Ras/PI3K/mTOR pathway	26099984	Review	4.91	2015	86		Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
PTEN	homo del	1-3%	Akt/mtor	26099527	Review	7.67	2015	77		Cetuximab;Everolimus;MK2206;Panitumumab;Trastuzumab
ALB	mut	5.00%	unclear	27838634	Review	5.03	2017	8		None
ALB	mut	3.3%(4/120)		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
ALB	mut	13%(39/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
ALB	mut	13.00%	hepatic differentiation	27262756	Review	7.43	2016	12		None
ALB	mut	13.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ALB	mut	12.80%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
ALB		10.20%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
ALB	mut	8.00%		28297679		8.4	2017	8	仅在第一阶段出现	None
ALB	mut	3.3%(4/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
ATM	mut	7%-19%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		Irinotecan
ATM	mut	5%（6/120）		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	Irinotecan
ATM	mut	6.00%	cell cycle control	27262756	Review	7.43	2016	12		Irinotecan
ATM		3.00%		.	.	.	.	.	来源于cosmic	Irinotecan
ATM	mut	5.50%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Irinotecan
ATM	mut	3.00%		28297679		8.4	2017	8	仅在第一阶段出现	Irinotecan
ATM	mut	30/928 (3.2)	p53/cell cycle control	26099984	Review	4.91	2015	86		Irinotecan
ATM	mut	5.0%(6/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	Irinotecan
ATM	mut	2-6%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Irinotecan
CCND1	(STV)CNV	5.3%(16/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Palbociclib
CCND1	amp	7.00%	cell cycle control	27262756	Review	7.43	2016	12		Palbociclib
CCND1	amp	6.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Palbociclib
CCND1	amp	4.70%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Palbociclib
CCND1		1-2%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Palbociclib
CCND1	amp	13.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	Palbociclib
CCND1	amp	7.00%	p53-Rb pathway，β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Palbociclib
CCND1	amp	46/636 (7.2)‡	Cell-cycle control	26099984	Review	4.91	2015	86		Palbociclib
CCND1	amp	5-14%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Palbociclib
NFE2L2	mut	5.00%	oxidative stress response	27838634	Review	5.03	2017	8		None
NFE2L2	mut	3.3%(10/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
NFE2L2	mut	6.00%	Oxidative stress	27262756	Review	7.43	2016	12		None
NFE2L2	mut	3.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
NFE2L2		3.00%		.	.	.	.	.	来源于cosmic	None
NFE2L2	mut	6.40%	Oxidative stress	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
NFE2L2	mut	7.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
NFE2L2	mut	32/928 (3.4)	Oxidative stress	26099984	Review	4.91	2015	86		None
NFE2L2	mut	3-6 %	oxidative stress	26099527	Review	7.67	2015	77		None
RPS6KA3	mut	8%-10%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		None
RPS6KA3	SNP、Indel、SV	6.3%(19/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
RPS6KA3	mut	7.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
RPS6KA3	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
RPS6KA3	mut	6.80%	MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
RPS6KA3		4.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
RPS6KA3	mut	5.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
RPS6KA3	mut	30/928 (3.2)	Ras/PI3K/mTOR pathway	26099984	Review	4.91	2015	86		None
RPS6KA3	mut	2-9%	Ras/raf/mapk	26099527	Review	7.67	2015	77		None
BAP1	mut	2.7%(8/300)	chromatin remodeling	27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
BAP1	mut	5.00%	chromatin remodeling	28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
BAP1		11.00%	chromatin remodeling	26405193	research	8.39	2015	19		None
BAP1	mut	8.50%	Epigenetic modifiers,chromatin-remodeling	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
BAP1	mut	32.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
BAP1	mut	25.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	None
BAP1		5.90%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	None
ACVR2A	mut	3.3%(10/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
ACVR2A	mut	4.00%	TGFβ signalling	27262756	Review	7.43	2016	12		None
ACVR2A	mut	3.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
ACVR2A	mut	4.10%	TGF-β	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
ACVR2A	mut	5.00%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
ACVR2A	mut	4.70%	TGFβ pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
APC	mut	1.00%	WNT Signalling	27262756	Review	7.43	2016	12		None
APC	mut	1.30%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
APC	mut	7.10%	WNT signalling	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
APC	mut	3.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
APC	mut	15/928 (1.6)	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None
APC	mut	1-2%	Wnt/β-catenin	26099527	Review	7.67	2015	77		None
FGF19	amp	4.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
FGF19	amp	4.30%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
FGF19	amp	4.70%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
FGF19	amp	7.00%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
FGF19	amp	36/636 (5.6)‡	FGF signalling	26099984	Review	4.91	2015	86		None
FGF19	amp	5-14%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		None
FGFR2	mut	0.40%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
FGFR2	fusion	23.00%		26405193	research	8.39	2015	19		None
FGFR2	mut	2.80%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None
FGFR2	mut，fusion	21.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
FGFR2	mut	1.80%		25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
FGFR2		13.00%		24185509	research	24.17	2013	164	32 iCC，9 gall-bladder carcinomas	None
KEAP1	mut	4.00%	Oxidative stress	27262756	Review	7.43	2016	12		None
KEAP1	mut	5.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
KEAP1		2.00%		.	.	.	.	.	来源于cosmic	None
KEAP1	mut	3.80%	Oxidative stress	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
KEAP1	mut	3.1%（29/928）	Oxidative stress	26099984	Review	4.91	2015	86		None
KEAP1	mut	2-8%	oxidative stress	26099527	Review	7.67	2015	77		None
MLL3	mut	4.00%	transcription	27838634	Review	5.03	2017	8		None
MLL3	mut	11.1%（3/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None
MLL3	mut	2.10%	epigenetic regulation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
MLL3	mut	3.00%		28297679		8.4	2017	8	38 CCA（34个是ICC）。进一步用15个样本验证。该部分为两个样本集都有的	None
MLL3	mut	4.2%(5/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None
MLL3	mut	3-6%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None
NTRK3	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
NTRK3	mut	3.00%	RAS/MAPK signalling	27262756	Review	7.43	2016	12		None
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
NTRK3	mut	3.00%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
TSC2	mut	7.00%	PIK3-mTOR	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None
TSC2	mut	3-8%	Ras/raf/mapk	26099527	Review	7.67	2015	77		None
TSC2		2-3%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
TSC2	mut	5.10%	PI3K/AKT/MTOR pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
TSC2		3.00%		.	.	.	.	.	来源于cosmic	None
TSC2	mut	5.00%	PI3K/MTOR signalling	27262756	Review	7.43	2016	12		None
APOB	mut	9.3%(28/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None
APOB	mut	9.00%	hepatic differentiation	27262756	Review	7.43	2016	12		None
APOB	mut	10.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None
APOB	mut	9.40%	hepatic differentiation	25822088	research	23.17	2015	153	243 样本（14% HBV）	None
APOB	mut	9.80%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None
EGFR	mut,amp	1.30%	PI3K/AKT/MTOR pathway,MAP kinase pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	Sorafenib;Regorafenib;Lenvatinib;Afatinib;AG-013736;BIBF-1120;Brivanib;Cediranib;Cetuximab;Erlotinib;Gefitinib;Lapatinib;Nintedanib;Osimertinib;Panitumumab;Pazopanib;Pembrolizumab;Sunitinib;Trastuzumab;Vandetanib
EGFR		3.00%		26405193	research	8.39	2015	19		Sorafenib;Regorafenib;Lenvatinib;Afatinib;AG-013736;BIBF-1120;Brivanib;Cediranib;Cetuximab;Erlotinib;Gefitinib;Lapatinib;Nintedanib;Osimertinib;Panitumumab;Pazopanib;Pembrolizumab;Sunitinib;Trastuzumab;Vandetanib
EGFR	amp	3.10%		28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Sorafenib;Regorafenib;Lenvatinib;Afatinib;AG-013736;BIBF-1120;Brivanib;Cediranib;Cetuximab;Erlotinib;Gefitinib;Lapatinib;Nintedanib;Osimertinib;Panitumumab;Pazopanib;Pembrolizumab;Sunitinib;Trastuzumab;Vandetanib
