gene	突变类型	突变频率	相关通路	PMID	文献类型	IF	年份	引用量	备注	Drug_anno(敏感增加或.)	Drug_anno(毒性增加或敏感降低或耐药提高)
TP53	mut	26.3%(79/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	35-50%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
TP53	mut	12-48%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Pramlintide:PMID: 25409149||AZD6738:NCT01955668,https: //ash.confex.com/ash/2014/webprogram/Paper71027.html;Decitabine:PMID: 27959731;Doxorubicin:PMID: 27397505;Gemcitabine:PMID: 27397505;Mitomycin C:PMID: 27397505;MK-1775:NCT01357161,ASCO2015 (abstr 2507);Pramlintide:PMID: 25409149||HSP90 inhibitors:PMID: 26009011||HSP90 inhibitors:PMID: 26009011||Nutlin-3a:PMID:  27813088	Abemaciclib:PMID: 27217383;Cisplatin:PMID: 27646943||Nutlin-3a:PMID:  27813088
ARID2	mut	7.00%	DNA damage checkpoint and repair	27838634	Review	5.03	2017	8		None	None
ARID2	mut	11.1%（3/27）；		22634756	research	24.17	2012	438	前者频率来源于27 WGS测序样本，后者来源于验证样本，	None	None
ARID2	mut	8.7%(26/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None	None
ARID2	mut	7.00%	Chromatin remodelling	27262756	Review	7.43	2016	12		None	None
ARID2	mut	5.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	None
ARID2		5.00%		.	.	.	.	.	来源于cosmic	None	None
ARID2	mut	6.80%	chromatin remodeling	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
ARID2		8.20%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None	None
ARID2	mut	3.40%	Epigenetic modifiers	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	None	None
ARID2	mut	13.00%	chromatin remodeling	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None	None
ARID2		7.40%		25636086	research	11.23	2015	30	30例胆汁表现的肝癌，60 HCC WGS，数据收录在ICGC	None	None
ARID2	mut	62/928 (6.7)	Chromatin remodeling	26099984	Review	4.91	2015	86		None	None
ARID2	mut	5.8%(7/120)		22634756	research	24.17	2012	443	25 HCC（11 HBV，14 HCV)；120 HCC validation set	None	None
ARID2	mut	3-18%	Epigenetic modifiers	26099527	Review	7.67	2015	77		None	None
CDKN2A	mut	6-30%		27838634	Review	5.03	2017	8		Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	(STV)CNV	11.3%(34/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	mut	8.00%	cell cycle control	27262756	Review	7.43	2016	12		Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	mut	2.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	del	13.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A		6.00%		.	.	.	.	.	来源于cosmic	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	mut,homo del	8.50%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A		3-4%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	CNV,epigenetic silencing	47.00%		28297679		8.4	2017	8	仅在第一阶段出现	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	del，mut	7.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	mut	13/928 (1.4)	p53/cell cycle control	26099984	Review	4.91	2015	86		Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	del	4.7%（26/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86		Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
CDKN2A	homo del	2-12%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Ilorasertib:NCT02478320||Ilorasertib:NCT02478320||Palbociclib:PMID:  29487225	None
RB1		0-14%		27838634	Review	5.03	2017	8		Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	SNP、Indel、SV	5.7%（17/300）		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut/del	8.00%	cell cycle control	27262756	Review	7.43	2016	12		Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut	4.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	del	19.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1		3.00%		.	.	.	.	.	来源于cosmic	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut,homo del	3.80%	p53/cell cycle	25822088	research	23.17	2015	153	243 样本（14% HBV）	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1		4.00%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut	2.80%	Cell cycle	28667006	research	3.46	2017	5	489 CCA(ICC和ECC）,94例DNA测序	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut	5.00%	p53-Rb pathway	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	mut	3%（28/928）	p53/cell cycle control	26099984	Review	4.91	2015	86		Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	del	3.7%（20/547）	TP53/cell-cycle control	26099984	Review	4.91	2015	86		Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
RB1	homo del	3-8%	P53-cell cycle pathway	26099527	Review	7.67	2015	77		Cisplatin:PMID: 26238431||Cisplatin:PMID: 26238431||Palbociclib:PMID: 23708653	None
AXIN1	mut	9-13%	Wnt signaling	27838634	Review	5.03	2017	8		None	None
AXIN1	mut	4.7%(14/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None	None
AXIN1	mut	11.00%	WNT Signalling	27262756	Review	7.43	2016	12		None	None
AXIN1	mut	8.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	None
AXIN1		18.00%		.	.	.	.	.	来源于cosmic	None	None
AXIN1	mut,homo del	11.10%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
AXIN1		7.50%		29573058	Review	4.14	2018	0	整合1340例样本分析；642来自日本，451来自TCGA，247来自芬兰	None	None
AXIN1	mut	10.00%	β-catenin	25362482	research	22.76	2014	106	503例样本（488 HCC，15 IHCC）,文献附件无法下载，根据图标预估比例	None	None
AXIN1	mut	45/928 (4.8)*	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None	None
AXIN1	del	16/547 (2.9)	Wnt/β-catenin signalling	26099984	Review	4.91	2015	86		None	None
AXIN1	mut	5-15%	Wnt/β-catenin	26099527	Review	7.67	2015	77		None	None
CTNNB1	mut	20-40%	Wnt signaling	27838634	Review	5.03	2017	8		None	None
CTNNB1	mut	24%(72/300)		27064257	research	20.83	2017	54	样本量300(HCC 268,24 ICC,8 Chcc/icc)	None	None
CTNNB1	mut	30.00%	WNT Signalling	27262756	Review	7.43	2016	12		None	None
CTNNB1	mut	27.00%		28622513	research	22.79	2017	21	来源于363 HCC WES样本，其中196例收录在TCGA中	None	None
CTNNB1		19.00%		.	.	.	.	.	来源于cosmic	None	None
CTNNB1	mut	37.40%	WNT/β-catenin pathway	25822088	research	23.17	2015	153	243 样本（14% HBV）	None	None
