TARGET_GENE	REGION
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
Cyclin-dependent kinase;Myophosphorylase	.
FLT4	chr5:180030141..180030400..exon1,180035230..180035294..exon2,180035957..180036063..exon3,180036894..180037035..exon4,180038320..180038489..exon5,180039495..180039621..exon6,180040000..180040120..exon7,180041057..180041189..exon8,180043356..180043499..exon9,180043889..180044004..exon10,180045759..180045930..exon11,180046010..180046119..exon12,180046242..180046376..exon13,180046654..180046779..exon14,180047162..180047318..exon15,180047598..180047725..exon16,180047865..180048017..exon17,180048095..180048262..exon18,180048531..180048914..exon19,180049720..180049849..exon20,180050924..180051071..exon21,180052858..180053041..exon22,180053100..180053275..exon23,180055871..180056009..exon24,180056248..180056437..exon25,180056685..180056845..exon26,180056932..180057115..exon27,180057214..180057347..exon28,180057544..180057809..exon29,180058671..180058788..exon30,180076477..180076595..exon31
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
FGFR1	chr8:38271095..38271332..exon1,38271425..38271551..exon2,38271659..38271817..exon3,38272066..38272157..exon4,38272286..38272429..exon5,38273377..38273588..exon6,38274813..38274944..exon7,38275377..38275519..exon8,38275735..38275901..exon9,38277040..38277263..exon10,38277046..38277263..exon11,38279304..38279469..exon12,38282016..38282227..exon13,38283629..38283773..exon14,38285428..38285621..exon15,38285853..38285963..exon16,38285859..38285963..exon17,38287189..38287476..exon18,38297813..38297940..exon19,38314863..38315014..exon20,38314863..38315062..exon21,38318603..38318674..exon22
FLT1	chr13:28877253..28877515..exon1,28880804..28880919..exon2,28882969..28883074..exon3,28885716..28885879..exon4,28886119..28886245..exon5,28891624..28891744..exon6,28893549..28893681..exon7,28895589..28895732..exon8,28896388..28896506..exon9,28896916..28897093..exon10,28901588..28901697..exon11,28903741..28903875..exon12,28908151..28908276..exon13,28913294..28913447..exon14,28919571..28919698..exon15,28931680..28931832..exon16,28942664..28942810..exon17,28959011..28959178..exon18,28963787..28964251..exon19,28963922..28964251..exon20,28971086..28971215..exon21,28973180..28973265..exon22,28979906..28980041..exon23,29001285..29001465..exon24,29001878..29002068..exon25,29004176..29004314..exon26,29005262..29005457..exon27,29007945..29008102..exon28,29008184..29008367..exon29,29012347..29012492..exon30,29041029..29041276..exon31,29041647..29041764..exon32,29068906..29069030..exon33
KIT	chr4:55524131..55524258..exon1,55561667..55561957..exon2,55564439..55564741..exon3,55565785..55565942..exon4,55569879..55570068..exon5,55573253..55573463..exon6,55575579..55575715..exon7,55589739..55589874..exon8,55592012..55592214..exon9,55592012..55592226..exon10,55593373..55593500..exon11,55593571..55593718..exon12,55593978..55594103..exon13,55594166..55594297..exon14,55595490..55595661..exon15,55597483..55597595..exon16,55598026..55598174..exon17,55599225..55599368..exon18,55602653..55602785..exon19,55602876..55602996..exon20,55603330..55603456..exon21,55604584..55604773..exon22
PDGFRB	chr5:149495275..149495519..exon1,149497170..149497423..exon2,149498299..149498425..exon3,149499019..149499139..exon4,149499564..149499696..exon5,149500440..149500583..exon6,149500756..149500895..exon7,149501432..149501613..exon8,149502594..149502774..exon9,149503802..149503933..exon10,149504279..149504404..exon11,149504997..149505150..exon12,149506072..149506187..exon13,149509309..149509541..exon14,149510091..149510235..exon15,149511531..149511667..exon16,149512302..149512515..exon17,149513138..149513333..exon18,149513433..149513581..exon19,149514302..149514589..exon20,149515107..149515451..exon21,149516560..149516660..exon22
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
FGFR1	chr8:38271095..38271332..exon1,38271425..38271551..exon2,38271659..38271817..exon3,38272066..38272157..exon4,38272286..38272429..exon5,38273377..38273588..exon6,38274813..38274944..exon7,38275377..38275519..exon8,38275735..38275901..exon9,38277040..38277263..exon10,38277046..38277263..exon11,38279304..38279469..exon12,38282016..38282227..exon13,38283629..38283773..exon14,38285428..38285621..exon15,38285853..38285963..exon16,38285859..38285963..exon17,38287189..38287476..exon18,38297813..38297940..exon19,38314863..38315014..exon20,38314863..38315062..exon21,38318603..38318674..exon22
MET	chr7:116339088..116340348..exon1,116371711..116371923..exon2,116371761..116371923..exon3,116379993..116380148..exon4,116380895..116381089..exon5,116395398..116395579..exon6,116397480..116397603..exon7,116397681..116397838..exon8,116398502..116398684..exon9,116399380..116399554..exon10,116399434..116399554..exon11,116403093..116403332..exon12,116409688..116409855..exon13,116409688..116409963..exon14,116411541..116411718..exon15,116411892..116412053..exon16,116414924..116415175..exon17,116417432..116417533..exon18,116418819..116419021..exon19,116422031..116422161..exon20,116423347..116423533..exon21,116435698..116435855..exon22,116435930..116436228..exon23
ERBB2	chr17:37855762..37855850..exon1,37856441..37856574..exon2,37863209..37863404..exon3,37863232..37863404..exon4,37864563..37864797..exon5,37865560..37865715..exon6,37866055..37866144..exon7,37866328..37866464..exon8,37866582..37866744..exon9,37868170..37868310..exon10,37868564..37868711..exon11,37871528..37871622..exon12,37871688..37871799..exon13,37871982..37872202..exon14,37872543..37872696..exon15,37872757..37872868..exon16,37873562..37873743..exon17,37873562..37873787..exon18,37876029..37876097..exon19,37879561..37879720..exon20,37879780..37879923..exon21,37880154..37880273..exon22,37880968..37881174..exon23,37881291..37881467..exon24,37881569..37881665..exon25,37881949..37882116..exon26,37882804..37882922..exon27,37883057..37883266..exon28,37883537..37883810..exon29,37883931..37884000..exon30,37883931..37884347..exon31
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
.	.
MTOR	chr1:11167491..11167567..exon1,11168227..11168353..exon2,11169336..11169437..exon3,11169695..11169796..exon4,11172898..11172984..exon5,11174364..11174520..exon6,11174859..11174954..exon7,11175442..11175535..exon8,11177050..11177153..exon9,11181292..11181435..exon10,11182025..11182193..exon11,11184544..11184700..exon12,11186668..11186863..exon13,11187056..11187211..exon14,11187670..11187873..exon15,11188050..11188193..exon16,11188500..11188619..exon17,11188901..11189018..exon18,11189784..11189905..exon19,11190575..11190844..exon20,11193126..11193264..exon21,11194397..11194533..exon22,11199350..11199502..exon23,11199579..11199725..exon24,11204694..11204822..exon25,11205014..11205112..exon26,11206722..11206858..exon27,11210172..11210293..exon28,11217198..11217358..exon29,11227488..11227584..exon30,11259304..11259470..exon31,11259587..11259770..exon32,11264607..11264770..exon33,11269358..11269525..exon34,11270860..11270973..exon35,11272358..11272541..exon36,11272842..11272975..exon37,11273445..11273633..exon38,11276194..11276301..exon39,11288714..11288985..exon40,11290971..11291121..exon41,11291346..11291501..exon42,11292482..11292595..exon43,11293444..11293554..exon44,11294189..11294332..exon45,11297889..11298115..exon46,11298448..11298684..exon47,11300349..11300614..exon48,11301599..11301748..exon49,11303160..11303367..exon50,11307671..11307800..exon51,11307865..11308161..exon52,11313885..11314040..exon53,11316038..11316259..exon54,11316979..11317232..exon55,11318531..11318660..exon56,11319294..11319516..exon57
VEGF; Vascular endothelial cell growth factor	.
CD274	chr9:5456063..5456175..exon1,5457068..5457430..exon2,5462823..5463131..exon3,5462823..5463227..exon4,5465488..5465616..exon5,5466759..5466839..exon6,5467829..5467912..exon7
SRC	chr20:36012506..36012816..exon1,36014467..36014587..exon2,36022287..36022406..exon3,36022566..36022690..exon4,36024554..36024724..exon5,36026091..36026267..exon6,36028507..36028707..exon7,36029994..36030091..exon8,36030827..36031001..exon9,36031141..36031293..exon10,36031563..36031832..exon11
ABL1	chr9:133589656..133589852..exon1,133710783..133710922..exon2,133729440..133729634..exon3,133730177..133730493..exon4,133738139..133738432..exon5,133747505..133747610..exon6,133748236..133748434..exon7,133750244..133750449..exon8,133753791..133753964..exon9,133755444..133755554..exon10,133755876..133756061..exon11,133759345..133761120..exon12
MTOR	chr1:11167491..11167567..exon1,11168227..11168353..exon2,11169336..11169437..exon3,11169695..11169796..exon4,11172898..11172984..exon5,11174364..11174520..exon6,11174859..11174954..exon7,11175442..11175535..exon8,11177050..11177153..exon9,11181292..11181435..exon10,11182025..11182193..exon11,11184544..11184700..exon12,11186668..11186863..exon13,11187056..11187211..exon14,11187670..11187873..exon15,11188050..11188193..exon16,11188500..11188619..exon17,11188901..11189018..exon18,11189784..11189905..exon19,11190575..11190844..exon20,11193126..11193264..exon21,11194397..11194533..exon22,11199350..11199502..exon23,11199579..11199725..exon24,11204694..11204822..exon25,11205014..11205112..exon26,11206722..11206858..exon27,11210172..11210293..exon28,11217198..11217358..exon29,11227488..11227584..exon30,11259304..11259470..exon31,11259587..11259770..exon32,11264607..11264770..exon33,11269358..11269525..exon34,11270860..11270973..exon35,11272358..11272541..exon36,11272842..11272975..exon37,11273445..11273633..exon38,11276194..11276301..exon39,11288714..11288985..exon40,11290971..11291121..exon41,11291346..11291501..exon42,11292482..11292595..exon43,11293444..11293554..exon44,11294189..11294332..exon45,11297889..11298115..exon46,11298448..11298684..exon47,11300349..11300614..exon48,11301599..11301748..exon49,11303160..11303367..exon50,11307671..11307800..exon51,11307865..11308161..exon52,11313885..11314040..exon53,11316038..11316259..exon54,11316979..11317232..exon55,11318531..11318660..exon56,11319294..11319516..exon57
MEK protein kinase	.
.	.
.	.
.	.
FLT1	chr13:28877253..28877515..exon1,28880804..28880919..exon2,28882969..28883074..exon3,28885716..28885879..exon4,28886119..28886245..exon5,28891624..28891744..exon6,28893549..28893681..exon7,28895589..28895732..exon8,28896388..28896506..exon9,28896916..28897093..exon10,28901588..28901697..exon11,28903741..28903875..exon12,28908151..28908276..exon13,28913294..28913447..exon14,28919571..28919698..exon15,28931680..28931832..exon16,28942664..28942810..exon17,28959011..28959178..exon18,28963787..28964251..exon19,28963922..28964251..exon20,28971086..28971215..exon21,28973180..28973265..exon22,28979906..28980041..exon23,29001285..29001465..exon24,29001878..29002068..exon25,29004176..29004314..exon26,29005262..29005457..exon27,29007945..29008102..exon28,29008184..29008367..exon29,29012347..29012492..exon30,29041029..29041276..exon31,29041647..29041764..exon32,29068906..29069030..exon33
FGFR1	chr8:38271095..38271332..exon1,38271425..38271551..exon2,38271659..38271817..exon3,38272066..38272157..exon4,38272286..38272429..exon5,38273377..38273588..exon6,38274813..38274944..exon7,38275377..38275519..exon8,38275735..38275901..exon9,38277040..38277263..exon10,38277046..38277263..exon11,38279304..38279469..exon12,38282016..38282227..exon13,38283629..38283773..exon14,38285428..38285621..exon15,38285853..38285963..exon16,38285859..38285963..exon17,38287189..38287476..exon18,38297813..38297940..exon19,38314863..38315014..exon20,38314863..38315062..exon21,38318603..38318674..exon22
.	.
MEK protein kinase	.
FGFR4	chr5:176516553..176516704..exon1,176517380..176517664..exon2,176517735..176517836..exon3,176517928..176518115..exon4,176518675..176518819..exon5,176519311..176519522..exon6,176519636..176519795..exon7,176520128..176520188..exon8,176520128..176520342..exon9,176520322..176520562..exon10,176520396..176520512..exon11,176520396..176520562..exon12,176520644..176520786..exon13,176522320..176522451..exon14,176522523..176522734..exon15,176523047..176523190..exon16,176523277..176523368..exon17,176523594..176523752..exon18,176524282..176524408..exon19,176524517..176524727..exon20
TUBB3	chr16:89989759..89989876..exon1,89998968..89999097..exon2,89999865..89999996..exon3,89999875..89999996..exon4,90001126..90002262..exon5
FGFR3	chr4:1795611..1795780..exon1,1800970..1801260..exon2,1801463..1801549..exon3,1803083..1803273..exon4,1803336..1803480..exon5,1803551..1803762..exon6,1804630..1804801..exon7,1805408..1805573..exon8,1806046..1806257..exon9,1806540..1806706..exon10,1807071..1807213..exon11,1807275..1807406..exon12,1807466..1807677..exon13,1807767..1807910..exon14,1807973..1808064..exon15,1808262..1808420..exon16,1808545..1808671..exon17,1808832..1809039..exon18
STAT3	chr17:40467712..40467828..exon1,40468794..40468879..exon2,40468796..40468929..exon3,40469189..40469252..exon4,40474289..40474522..exon5,40474292..40474522..exon6,40475011..40475171..exon7,40475267..40475382..exon8,40475580..40475653..exon9,40476718..40476874..exon10,40476970..40477089..exon11,40478123..40478227..exon12,40481417..40481485..exon13,40481561..40481675..exon14,40481754..40481804..exon15,40483479..40483559..exon16,40485680..40485793..exon17,40485898..40486077..exon18,40489442..40489614..exon19,40489770..40489885..exon20,40490738..40490840..exon21,40491321..40491437..exon22,40497566..40497685..exon23,40498576..40498741..exon24,40500396..40500584..exon25
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
MET	chr7:116339088..116340348..exon1,116371711..116371923..exon2,116371761..116371923..exon3,116379993..116380148..exon4,116380895..116381089..exon5,116395398..116395579..exon6,116397480..116397603..exon7,116397681..116397838..exon8,116398502..116398684..exon9,116399380..116399554..exon10,116399434..116399554..exon11,116403093..116403332..exon12,116409688..116409855..exon13,116409688..116409963..exon14,116411541..116411718..exon15,116411892..116412053..exon16,116414924..116415175..exon17,116417432..116417533..exon18,116418819..116419021..exon19,116422031..116422161..exon20,116423347..116423533..exon21,116435698..116435855..exon22,116435930..116436228..exon23
AKT3	chr1:243662994..243663098..exon1,243663020..243663098..exon2,243668500..243668646..exon3,243675615..243675738..exon4,243708801..243708909..exon5,243716020..243716255..exon6,243727011..243727160..exon7,243736217..243736360..exon8,243776962..243777051..exon9,243778387..243778473..exon10,243800902..243801054..exon11,243809184..243809349..exon12,243828063..243828195..exon13,243858882..243859028..exon14,244006416..244006522..exon15
.	.
CD40	chr20:44746932..44747043..exon1,44750448..44750547..exon2,44750861..44751007..exon3,44751238..44751405..exon4,44751754..44751868..exon5,44755268..44755350..exon6,44755268..44755390..exon7,44756766..44756873..exon8,44756766..44756885..exon9,44756958..44757007..exon10,44756958..44757046..exon11,44757510..44757729..exon12
KDR	chr4:55946057..55946340..exon1,55948112..55948218..exon2,55948692..55948812..exon3,55953763..55953935..exon4,55955024..55955150..exon5,55955530..55955650..exon6,55955847..55955979..exon7,55956112..55956255..exon8,55958773..55958891..exon9,55960958..55961132..exon10,55961733..55961842..exon11,55962385..55962519..exon12,55963818..55963943..exon13,55964293..55964449..exon14,55964853..55964980..exon15,55968053..55968205..exon16,55968518..55968685..exon17,55970799..55971161..exon18,55971988..55972117..exon19,55972843..55972987..exon20,55973893..55974070..exon21,55976559..55976743..exon22,55976810..55976945..exon23,55979460..55979658..exon24,55980282..55980442..exon25,55981030..55981219..exon26,55981437..55981588..exon27,55984760..55984977..exon28,55987253..55987367..exon29,55991383..55991510..exon30
EGFR	chr7:55086920..55087068..exon1,55209968..55210140..exon2,55209999..55210140..exon3,55210987..55211191..exon4,55214288..55214443..exon5,55218976..55219065..exon6,55220228..55220367..exon7,55221693..55221855..exon8,55223512..55223649..exon9,55224215..55224362..exon10,55224441..55224535..exon11,55224441..55224586..exon12,55225345..55225456..exon13,55227821..55228041..exon14,55229181..55229334..exon15,55231415..55231526..exon16,55232962..55233140..exon17,55236205..55236272..exon18,55237989..55238287..exon19,55238857..55238916..exon20,55240665..55240827..exon21,55241603..55241746..exon22,55242404..55242523..exon23,55248975..55249181..exon24,55259401..55259577..exon25,55260448..55260544..exon26,55266399..55266566..exon27,55267998..55268116..exon28,55268870..55269058..exon29,55269417..55269485..exon30,55270199..55270328..exon31,55270199..55270508..exon32,55272938..55273360..exon33
MET	chr7:116339088..116340348..exon1,116371711..116371923..exon2,116371761..116371923..exon3,116379993..116380148..exon4,116380895..116381089..exon5,116395398..116395579..exon6,116397480..116397603..exon7,116397681..116397838..exon8,116398502..116398684..exon9,116399380..116399554..exon10,116399434..116399554..exon11,116403093..116403332..exon12,116409688..116409855..exon13,116409688..116409963..exon14,116411541..116411718..exon15,116411892..116412053..exon16,116414924..116415175..exon17,116417432..116417533..exon18,116418819..116419021..exon19,116422031..116422161..exon20,116423347..116423533..exon21,116435698..116435855..exon22,116435930..116436228..exon23
