Drug	targets
AZD6738	ATR	ClinicalTrials.gov (NCT01955668) AZD6738 First Time in Patient Multiple Ascending Dose Study. U.S. National Institutes of Health.;Potentiation of tumor responses to DNA damaging therapy by the selective ATR inhibitor VX-970. Oncotarget. 2014 Jul 30;5(14):5674-85.;ATR inhibitors VE-821 and VX-970 sensitize cancer cells to topoisomerase i inhibitors by disabling DNA replication initiation and fork elongation responses. Cancer Res. 2014 Dec 1;74(23):6968-79.;National Cancer Institute Drug Dictionary (drug id 754022).
CHK1/2 抑制剂	.	.
Cisplatin	Reduction of cumulative renal toxicity of cisplatin and toxic effects of radiation on normal oral tissues	Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
Olaparib	Poly ADP ribose polymerase (PARP)	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7519).;LYNPARZA? approved by the US food and drug administration for the treatment of advanced ovarian cancer in patients with germline BRCA-mutations;2014 FDA drug approvals. Nat Rev Drug Discov. 2015 Feb;14(2):77-81.
Temozolomide	Human DNA	Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7301).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.
Ibrutinib	BTK	ClinicalTrials.gov (NCT01833039) An Open Label Treatment Use Protocol for Ibrutinib in Subjects With Relapsed or Refractory Mantle Cell Lymphoma. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6912).;Janssen's IMBRUVICA (ibrutinib) Receives Additional European Commission Approval for the Treatment of Waldenstrom's Macroglobulinemia. Janssen-Cilag International NV (Janssen). Jul 10, 2015.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Target id: 1948).
JAK 抑制剂	.	.
LEE011	CDK4;CDK6	ClinicalTrials.gov (NCT01958021) Study of Efficacy and Safety of LEE011 in Postmenopausal Women With Advanced Breast Cancer.(MONALEESA-2). U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7383).;Dual CDK4/CDK6 inhibition induces cell-cycle arrest and senescence in neuroblastoma. Clin Cancer Res. 2013 Nov 15;19(22):6173-82.
Ilorasertib	.	.
Afatinib + Cetuximab	.	.
Afatinib + Nimotuzumab	.	.
AZD9291	EGFR	ClinicalTrials.gov (NCT02511106) AZD9291 Versus Placebo in Patients With Stage IB-IIIA Non-small Cell Lung Carcinoma, Following Complete Tumour Resection With or Without Adjuvant Chemotherapy.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7719).;AZD9291, an irreversible EGFR TKI, overcomes T790M-mediated resistance to EGFR inhibitors in lung cancer. Cancer Discov. 2014 Sep;4(9):1046-61.
Cetuximab + Sirolimus	.	.
EGFR 抑制剂	.	.
HM61713	.	Olmutinib: First Global Approval.
HSP90 抑制剂	.	.
MEK 抑制剂	.	.
novel EGFR mAb 抑制剂	.	.
Rindopepimut	EGFR	ClinicalTrials.gov (NCT01480479) Phase III Study of Rindopepimut/GM-CSF in Patients With Newly Diagnosed Glioblastoma. U.S. National Institutes of Health.;Rindopepimut, a 14-mer injectable peptide vaccine against EGFRvIII for the potential treatment of glioblastoma multiforme. Curr Opin Mol Ther. 2010 Dec;12(6):741-54.
Rociletinib	.	ClinicalTrials.gov (NCT02322281) TIGER-3: Open Label, Multicenter Study of Rociletinib (CO-1686) Mono Therapy Versus Single-agent Cytotoxic Chemotherapy in Patients With Mutant EGFR NSCLC Who Have Failed at Least One Previous EGFR-Directed TKI and Platinum-doublet Chemotherapy
MTOR 抑制剂	.	.
Abemaciclib	.	.
Anastrozole	CYP19A1	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5137).;New drugs in development for the treatment of endometriosis. Expert Opin Investig Drugs. 2008 Aug;17(8):1187-202.;Aromatase inhibitors for male infertility. J Urol. 2002 Feb;167(2 Pt 1):624-9.;Effective aromatase inhibition by anastrozole in a patient with gonadotropin-independent precocious puberty in McCune-Albright syndrome. J Pediatr Endocrinol Metab. 2002;15 Suppl 3:945-8.
Dacomitinib	ERBB4;ERBB2;EGFR	ClinicalTrials.gov (NCT01360554) ARCHER 1009 : A Study Of Dacomitinib (PF-00299804) Vs. Erlotinib In The Treatment Of Advanced Non-Small Cell Lung Cancer. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7422).;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Target id: 1797).
Exemestane	CYP19A1	Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7073).;Aromatase inhibitors--theoretical concept and present experiences in the treatment of endometriosis. Zentralbl Gynakol. 2003 Jul-Aug;125(7-8):247-51.
Fulvestrant	ESR1	Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 1015).;Beta3-tubulin is induced by estradiol in human breast carcinoma cells through an estrogen-receptor dependent pathway. Cell Motil Cytoskeleton. 2009 Jul;66(7):378-88.
Letrozole	CYP19A1	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5209).;New drugs in development for the treatment of endometriosis. Expert Opin Investig Drugs. 2008 Aug;17(8):1187-202.;Aromatase inhibitors--theoretical concept and present experiences in the treatment of endometriosis. Zentralbl Gynakol. 2003 Jul-Aug;125(7-8):247-51.
LHRH analogues or antagonist	.	.
Pertuzumab	ERBB2	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5046).;Pertuzumab, trastuzumab, and docetaxel for HER2-positive metastatic breast cancer (CLEOPATRA study): overall survival results from a randomised, double-blind, placebo-controlled, phase 3 study. Lancet Oncol. 2013 May;14(6):461-71.;Pertuzumab. Drugs Fut 2008, 33(2): 123 ISSN 0377-8282.;Clinical pipeline report, company report or official report of Roche (2009).
Tak-285	ERBB2	ClinicalTrials.gov (NCT00535522) A Safety and Pharmacokinetic Study of TAK-285 in Patients With Advanced Cancer. U.S. National Institutes of Health.;Clinical pipeline report, company report or official report of Takeda (2009).
Tamoxifen	ESR1	Rational management of endocrine resistance in breast cancer: a comprehensive review of estrogen receptor biology, treatment options, and future directions. Cancer. 2008 Nov 1;113(9):2385-97.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 1016).;Chemoprevention for high-risk women: tamoxifen and beyond. Breast J. 2001 Sep-Oct;7(5):311-20.;Modulators of vascular sex hormone receptors and their effects in estrogen-deficiency states associated with menopause. Recent Pat Cardiovasc Drug Discov. 2008 Nov;3(3):165-86.
Tensirolimus	.	The ChEMBL database in 2017.
ERBB3 mAb 抑制剂	.	.
PI3K pathway 抑制剂 + MEK 抑制剂	.	.
Fluvestrant	.	.
GDC-0810	.	The ChEMBL database in 2017.
Crenolanib	.	The ChEMBL database in 2017.
Lestaurtinib	FLT3	Emerging drugs for psoriasis. Expert Opin Emerg Drugs. 2009 Mar;14(1):145-63.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5672).;A phase 2 trial of the FLT3 inhibitor lestaurtinib (CEP701) as first-line treatment for older patients with acute myeloid leukemia not considered fit for intensive chemotherapy. Blood. 2006 Nov 15;108(10):3262-70. Epub 2006 Jul 20.;Lestaurtinib (CEP701) is a JAK2 inhibitor that suppresses JAK2/STAT5 signaling and the proliferation of primary erythroid cells from patients with myeloproliferative disorders. Blood. 2008 Jun 15;111(12):5663-71. Epub 2007 Nov 5.
Midostaurin	FLT3;PRKCG	Drugs@FDA (Edaravone);Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5702).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;CBL exon 8/9 mutants activate the FLT3 pathway and cluster in core binding factor/11q deletion acute myeloid leukemia/myelodysplastic syndrome subtypes. Clin Cancer Res. 2009 Apr 1;15(7):2238-47. Epub 2009 Mar 10.
Quizartinib	.	ClinicalTrials.gov (NCT02039726) An Open-label Study of Quizartinib Monotherapy vs. Salvage Chemotherapy in Acute Myeloid Leukemia (AML) Subjects. U.S. National Institutes of Health.
Venetoclax	.	.
BKM120	PIK3CD;PIK3CG;PIK3CB;PIK3CA	ClinicalTrials.gov (NCT01610284) Phase III Study of BKM120/Placebo With Fulvestrant in Postmenopausal Patients With Hormone Receptor Positive HER2-negative Locally Advanced or Metastatic Breast Cancer Refractory to Aromatase Inhibitor. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7878).;Targeting the phosphoinositide 3-kinase pathway in cancer. Nat Rev Drug Discov. 2009 Aug;8(8):627-44.
GDC-0941	PIK3CG	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5682).;Trusted, scientifically sound profiles of drug programs, clinical trials, safety reports, and company deals, written by scientists. Springer. 2015. Adis Insight (drug id 800027517);The PI3K/Akt pathway as a target in the treatment of hematologic malignancies. Anticancer Agents Med Chem. 2009 Jun;9(5):550-9.;Targeting the phosphoinositide 3-kinase pathway in cancer. Nat Rev Drug Discov. 2009 Aug;8(8):627-44.
PP24237	.	.
Temsirolimus	MTOR	Advances in kinase targeting: current clinical use and clinical trials. Trends Pharmacol Sci. 2014 Nov;35(11):604-20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5892).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
AG-120	IDH1	ClinicalTrials.gov (NCT02073994) Study of Orally Administered AG-120 in Subjects With Advanced Solid Tumors, Including Glioma, With an IDH1 Mutation. U.S. National Institutes of Health.;Oncometabolic mutation IDH1 R132H confers a metformin-hypersensitive phenotype. Oncotarget. 2015 May 20;6(14):12279-96.
AG-221	IDH2	ClinicalTrials.gov (NCT02273739) Study of Orally Administered AG-221 in Subjects With Advanced Solid Tumors, Including Glioma, and With Angioimmunoblastic T-cell Lymphoma, With an IDH2 Mutation. U.S.National Institutes of Health.;New Developments in the Pathogenesis and Therapeutic Targeting of the IDH1 Mutation in Glioma. Int J Med Sci. 2015; 12(3): 201-213.
Dasatinib	SRC;ABL1;LCK;FYN	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;Dasatinib: a tyrosine kinase inhibitor for the treatment of chronic myelogenous leukemia and philadelphia chromosome-positive acute lymphoblastic leukemia. Clin Ther. 2007 Nov;29(11):2289-308.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5678).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015;Current and future treatments of bone metastases. Expert Opin Emerg Drugs. 2008 Dec;13(4):609-27.;Multi-target therapeutics: when the whole is greater than the sum of the parts. Drug Discov Today. 2007 Jan;12(1-2):34-42. Epub 2006 Nov 28.;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.;In vitro and clinical investigation of the relationship between CCR5 receptor occupancy and anti-HIV activity of Aplaviroc. J Clin Pharmacol. 2008 Oct;48(10):1179-88. Epub 2008 Aug 1.
BCL2 抑制剂	.	.
Decitabine	Human DNA	2006 drug approvals: finding the niche. Nat Rev Drug Discov. 2007 Feb;6(2):99-101.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6805).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
Docetaxel	TUBB3	Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6809).;Docetaxel: a review of its use in metastatic breast cancer. Drugs. 2005;65(17):2513-31.
Gemcitabine	RRM2	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 4793).;Emerging drugs in cutaneous T cell lymphoma. Expert Opin Emerg Drugs. 2008 Jun;13(2):345-61.;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services.
AZD6244	MEK protein kinase	Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5665).
ERK 抑制剂	.	.
novel MEK 抑制剂	.	.
Panitumumab + Trametinib	.	.
PLX4720	BRAF;KDR	Targeting BRAFV600E with PLX4720 displays potent antimigratory and anti-invasive activity in preclinical models of human thyroid cancer.;Comprehensive analysis of kinase inhibitor selectivity. Nat Biotechnol. 2011 Oct 30;29(11):1046-51.;In vivo antitumor activity of SU11248, a novel tyrosine kinase inhibitor targeting vascular endothelial growth factor and platelet-derived growth factor receptors: determination of a pharmacokinetic/pharmacodynamic relationship. Clin Cancer Res. 2003 Jan;9(1):327-37.
Vemurafenib	BRAF	ClinicalTrials.gov (NCT01898585) An Open-Label Study of Zelboraf (Vemurafenib) in Patients With Braf V600 Mutation Positive Metastatic Melanoma. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5893).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
MET 抑制剂	.	.
Savolitinib	.	.
MTOR kinase 抑制剂	.	.
Sirolimus	MTOR	Natural products as sources of new drugs over the last 25 years. J Nat Prod. 2007 Mar;70(3):461-77. Epub 2007 Feb 20.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6031).;Knockouts model the 100 best-selling drugs--will they model the next 100? Nat Rev Drug Discov. 2003 Jan;2(1):38-51.
Bevacizumab	.	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6771).;Trusted, scientifically sound profiles of drug programs, clinical trials, safety reports, and company deals, written by scientists. Springer. 2015. Adis Insight (drug id 800008086);Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015
PLX3397	.	.
Tipifarnib	Farnesyl protein transferase	Emerging therapies for multiple myeloma. Expert Opin Emerg Drugs. 2009 Mar;14(1):99-127.
Vinblastine	TUBB4B	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 6851).;Drugs@FDA. U.S. Food and Drug Administration. U.S. Department of Health & Human Services. 2015;Effect of the antitumor drug vinblastine on nuclear betaII-tubulin in cultured rat kidney mesangial cells. Invest New Drugs. 2003 Feb;21(1):15-20.
AR42	.	.
Octreotide	SSTR2	Emerging drugs for complications of end-stage liver disease. Expert Opin Emerg Drugs. 2008 Mar;13(1):159-74.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 2055).;Versatile conjugation of octreotide to dendrimers by cycloaddition ("click") chemistry to yield high-affinity multivalent cyclic Peptide dendrimers. Bioconjug Chem. 2009 Jul;20(7):1323-31.
Entrectinib	.	Safety and Antitumor Activity of the Multitargeted Pan-TRK, ROS1, and ALK Inhibitor Entrectinib: Combined Results from Two Phase I Trials (ALKA-372-001 and STARTRK-1).
I型酪氨酸激酶抑制剂	.	.
Imatinib	ABL1;Platelet-derived growth factor receptor;KIT	Emerging treatments for pulmonary arterial hypertension. Expert Opin Emerg Drugs. 2006 Nov;11(4):609-19.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5687).;A comparison of physicochemical property profiles of marketed oral drugs and orally bioavailable anti-cancer protein kinase inhibitors in clinical development. Curr Top Med Chem. 2007;7(14):1408-22.
BYL719	PIK3CA	ClinicalTrials.gov (NCT01923168) Study of Letrozole With or Without BYL719 or Buparlisib, for the Neoadjuvant Treatment of Postmenopausal Women. U.S. National Institutes of Health.;(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 7955).;Characterization of the novel and specific PI3Kalpha inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials. Mol Cancer Ther. 2014 May;13(5):1117-29.
U0126	Mitogen-activated protein kinase;MAP3K2;MAP3K1;Mitogen-activated protein kinase kinase	(http://www.guidetopharmacology.org/) Nucleic Acids Res. 2015 Oct 12. pii: gkv1037. The IUPHAR/BPS Guide to PHARMACOLOGY in 2016: towards curated quantitative interactions between 1300 protein targets and 6000 ligands. (Ligand id: 5282).;Intravenous administration of MEK inhibitor U0126 affords brain protection against forebrain ischemia and focal cerebral ischemia. Proc Natl Acad Sci U S A. 2001 Sep 25;98(20):11569-74. Epub 2001 Aug 14.;Pharmacological inhibitors of MAPK pathways. Trends Pharmacol Sci. 2002 Jan;23(1):40-5.;Transcriptional regulation of basal cyclooxygenase-2 expression in murine lung tumor-derived cell lines by CCAAT/enhancer-binding protein and activating transcription factor/cAMP response element-binding protein. Mol Pharmacol. 2002 Aug;62(2):326-33.
