NCTID	nctstudycancer
NCT02465060	NCT02465060:Phase 2:Advanced Malignant Solid Neoplasm;Bladder Carcinoma;Breast Carcinoma;Cervical Carcinoma;Colon Carcinoma;Colorectal Carcinoma;Endometrial Carcinoma;Esophageal Carcinoma;Gastric Carcinoma;Glioma;Head and Neck Carcinoma;Kidney Carcinoma;Liver and Intrahepatic Bile Duct Carcinoma;Lung Carcinoma;Lymphoma;Malignant Uterine Neoplasm;Melanoma;Ovarian Carcinoma;Pancreatic Carcinoma;Plasma Cell Myeloma;Prostate Carcinoma;Rectal Carcinoma;Recurrent Bladder Carcinoma;Recurrent Breast Carcinoma;Recurrent Cervical Carcinoma;Recurrent Colon Carcinoma;Recurrent Colorectal Carcinoma;Recurrent Esophageal Carcinoma;Recurrent Gastric Carcinoma;Recurrent Glioma;Recurrent Head and Neck Carcinoma;Recurrent Liver Carcinoma;Recurrent Lung Carcinoma;Recurrent Lymphoma;Recurrent Malignant Solid Neoplasm;Recurrent Melanoma;Recurrent Ovarian Carcinoma;Recurrent Pancreatic Carcinoma;Recurrent Plasma Cell Myeloma;Recurrent Prostate Carcinoma;Recurrent Rectal Carcinoma;Recurrent Skin Carcinoma;Recurrent Thyroid Gland Carcinoma;Recurrent Uterine Corpus Carcinoma;Refractory Lymphoma;Refractory Malignant Solid Neoplasm;Refractory Plasma Cell Myeloma;Skin Carcinoma;Thyroid Gland Carcinoma;Uterine Corpus Cancer
NCT03053466	NCT03053466:Phase 1:Solid Tumor;Advanced Cancers;Colorectal Cancer;Gastric Cancer;Hepatocellular Cancer;Non Small Cell Lung Cancer;Renal Cancer;Head and Neck Squamous Cell Carcinoma;CHL;Urothelial Carcinoma;Gastroesophageal Junction Adenocarcinoma;Microsatellite Instability;Mismatch Repair Deficiency;Esophageal Cancer;Cancer of Unknown Primary Site;Carcinosarcoma
NCT00790218	NCT00790218:Phase 1|Phase 2:Hepatocellular Carcinoma
NCT01033240	NCT01033240:Phase 2:Advanced Hepatocellular Carcinoma;Liver Cancer;Hepatic Cancer;Liver Neoplasms
NCT01744249	NCT01744249:Phase 2|Phase 3:Neuroendocrine Tumors;Advanced Cancer
NCT00012181	NCT00012181:Phase 1:Recurrent Childhood Brain Stem Glioma;Recurrent Childhood Cerebellar Astrocytoma;Recurrent Childhood Cerebral Astrocytoma;Recurrent Childhood Ependymoma;Recurrent Childhood Large Cell Lymphoma;Recurrent Childhood Liver Cancer;Recurrent Childhood Lymphoblastic Lymphoma;Recurrent Childhood Malignant Germ Cell Tumor;Recurrent Childhood Medulloblastoma;Recurrent Childhood Rhabdomyosarcoma;Recurrent Childhood Small Noncleaved Cell Lymphoma;Recurrent Childhood Soft Tissue Sarcoma;Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor;Recurrent Childhood Visual Pathway and Hypothalamic Glioma;Recurrent Childhood Visual Pathway Glioma;Recurrent Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor;Recurrent Neuroblastoma;Recurrent Osteosarcoma;Recurrent Retinoblastoma;Recurrent Wilms Tumor and Other Childhood Kidney Tumors;Recurrent/Refractory Childhood Hodgkin Lymphoma;Unspecified Childhood Solid Tumor, Protocol Specific
NCT02702323	NCT02702323:Phase 2|Phase 3:Hepatocellular Carcinoma;Pulmonary Metastasis
NCT02727309	NCT02727309:Phase 1|Phase 2:Hepatocellular Carcinoma
NCT02942329	NCT02942329:Phase 1|Phase 2:Gastric Cancer;Hepatocellular Carcinoma
NCT02772029	NCT02772029:Phase 1|Phase 2:Hepatocellular Carcinoma
NCT03511703	NCT03511703:Phase 2:Hepatocellular Carcinoma
NCT03261791	NCT03261791:Phase 2:Carcinoma, Hepatocellular
NCT03114085	NCT03114085:Phase 2:Hepatocellular Carcinoma
NCT03046979	NCT03046979:Phase 2:Hepatocellular Carcinoma
NCT02329860	NCT02329860:Phase 3:Carcinoma, Hepatocellular
NCT01192971	NCT01192971:Phase 2:Advanced Hepatocellular Carcinoma
NCT01752920	NCT01752920:Phase 1|Phase 2:Solid Tumor
NCT01656265	NCT01656265:Phase 1:Advanced Hepatocellular Carcinoma
NCT00988741	NCT00988741:Phase 2:Unresectable Hepatocellular Carcinoma
NCT00802555	NCT00802555:Phase 1:Cirrhosis;Hepatocellular Carcinoma
NCT03519997	NCT03519997:Phase 2:Hepatocellular Carcinoma
NCT02354898	NCT02354898:Phase 1:Advanced Solid Tumors;Hepatocellular Carcinoma
NCT02232633	NCT02232633:Phase 2:Hepatocellular Carcinoma;Cholangiocarcinoma
NCT02358395	NCT02358395:Phase 1:Hepatocellular Carcinoma
NCT03412773	NCT03412773:Phase 3:Hepatocellular Carcinoma (HCC)
NCT02128958	NCT02128958:Phase 2:Hepatocellular Carcinoma
NCT01273662	NCT01273662:Phase 2:Hepatocellular Carcinoma
NCT00608361	NCT00608361:Phase 1:Adult Acute Lymphoblastic Leukemia in Remission;Adult B Acute Lymphoblastic Leukemia;Adult Hepatocellular Carcinoma;Adult Nasal Type Extranodal NK/T-Cell Lymphoma;Adult Solid Neoplasm;Adult T Acute Lymphoblastic Leukemia;Advanced Adult Hepatocellular Carcinoma;Anaplastic Large Cell Lymphoma;Angioimmunoblastic T-Cell Lymphoma;Chronic Lymphocytic Leukemia;Cutaneous B-Cell Non-Hodgkin Lymphoma;Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue;Hepatosplenic T-Cell Lymphoma;Intraocular Lymphoma;Localized Non-Resectable Adult Liver Carcinoma;Localized Resectable Adult Liver Carcinoma;Lymphomatous Involvement of Non-Cutaneous Extranodal Site;Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma;Nodal Marginal Zone Lymphoma;Progressive Hairy Cell Leukemia Initial Treatment;Recurrent Adult Acute Lymphoblastic Leukemia;Recurrent Adult Burkitt Lymphoma;Recurrent Adult Diffuse Large Cell Lymphoma;Recurrent Adult Diffuse Mixed Cell Lymphoma;Recurrent Adult Diffuse Small Cleaved Cell Lymphoma;Recurrent Adult Grade III Lymphomatoid Granulomatosis;Recurrent Adult Hodgkin Lymphoma;Recurrent Adult Immunoblastic Lymphoma;Recurrent Adult Liver Carcinoma;Recurrent Adult Lymphoblastic Lymphoma;Recurrent Adult T-Cell Leukemia/Lymphoma;Recurrent Cutaneous T-Cell Non-Hodgkin Lymphoma;Recurrent Grade 1 Follicular Lymphoma;Recurrent Grade 2 Follicular Lymphoma;Recurrent Grade 3 Follicular Lymphoma;Recurrent Mantle Cell Lymphoma;Recurrent Marginal Zone Lymphoma;Recurrent Mycosis Fungoides and Sezary Syndrome;Recurrent Small Lymphocytic Lymphoma;Refractory Chronic Lymphocytic Leukemia;Refractory Hairy Cell Leukemia;Small Intestinal Lymphoma;Splenic Marginal Zone Lymphoma;Stage II Small Lymphocytic Lymphoma;Stage III Adult Burkitt Lymphoma;Stage III Adult Diffuse Large Cell Lymphoma;Stage III Adult Diffuse Mixed Cell Lymphoma;Stage III Adult Diffuse Small Cleaved Cell Lymphoma;Stage III Adult Hodgkin Lymphoma;Stage III Adult Immunoblastic Lymphoma;Stage III Adult Lymphoblastic Lymphoma;Stage III Adult T-Cell Leukemia/Lymphoma;Stage III Chronic Lymphocytic Leukemia;Stage III Cutaneous T-Cell Non-Hodgkin Lymphoma;Stage III Grade 1 Follicular Lymphoma;Stage III Grade 2 Follicular Lymphoma;Stage III Grade 3 Follicular Lymphoma;Stage III Mantle Cell Lymphoma;Stage III Marginal Zone Lymphoma;Stage III Small Lymphocytic Lymphoma;Stage IIIA Mycosis Fungoides and Sezary Syndrome;Stage IIIB Mycosis Fungoides and Sezary Syndrome;Stage IV Adult Burkitt Lymphoma;Stage IV Adult Diffuse Large Cell Lymphoma;Stage IV Adult Diffuse Mixed Cell Lymphoma;Stage IV Adult Diffuse Small Cleaved Cell Lymphoma;Stage IV Adult Hodgkin Lymphoma;Stage IV Adult Immunoblastic Lymphoma;Stage IV Adult Lymphoblastic Lymphoma;Stage IV Adult T-Cell Leukemia/Lymphoma;Stage IV Chronic Lymphocytic Leukemia;Stage IV Cutaneous T-Cell Non-Hodgkin Lymphoma;Stage IV Grade 1 Follicular Lymphoma;Stage IV Grade 2 Follicular Lymphoma;Stage IV Grade 3 Follicular Lymphoma;Stage IV Mantle Cell Lymphoma;Stage IV Marginal Zone Lymphoma;Stage IV Small Lymphocytic Lymphoma;Stage IVA Mycosis Fungoides and Sezary Syndrome;Stage IVB Mycosis Fungoides and Sezary Syndrome;T-Cell Large Granular Lymphocyte Leukemia;Testicular Lymphoma;Untreated Adult Acute Lymphoblastic Leukemia;Untreated Hairy Cell Leukemia;Waldenstrom Macroglobulinemia
NCT00920192	NCT00920192:Phase 1:Carcinoma, Hepatocellular
NCT00764595	NCT00764595:Phase 2:Gastrointestinal Stromal Tumor;Metastatic Cancer
NCT00025415	NCT00025415:Phase 1:Accelerated Phase Chronic Myelogenous Leukemia;Acute Undifferentiated Leukemia;AIDS-related Peripheral/Systemic Lymphoma;AIDS-related Primary CNS Lymphoma;Anaplastic Large Cell Lymphoma;Angioimmunoblastic T-cell Lymphoma;Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative;Blastic Phase Chronic Myelogenous Leukemia;Childhood Myelodysplastic Syndromes;Chronic Eosinophilic Leukemia;Chronic Myelogenous Leukemia, BCR-ABL1 Positive;Chronic Myelomonocytic Leukemia;Chronic Neutrophilic Leukemia;Chronic Phase Chronic Myelogenous Leukemia;de Novo Myelodysplastic Syndromes;Essential Thrombocythemia;Extramedullary Plasmacytoma;Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue;Gastrointestinal Stromal Tumor;Intraocular Lymphoma;Isolated Plasmacytoma of Bone;Meningeal Chronic Myelogenous Leukemia;Monoclonal Gammopathy of Undetermined Significance;Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable;Nodal Marginal Zone B-cell Lymphoma;Polycythemia Vera;Previously Treated Myelodysplastic Syndromes;Primary Central Nervous System Non-Hodgkin Lymphoma;Primary Myelofibrosis;Primary Systemic Amyloidosis;Progressive Hairy Cell Leukemia, Initial Treatment;Prolymphocytic Leukemia;Recurrent Adult Acute Lymphoblastic Leukemia;Recurrent Adult Acute Myeloid Leukemia;Recurrent Adult Burkitt Lymphoma;Recurrent Adult Diffuse Large Cell Lymphoma;Recurrent Adult Diffuse Mixed Cell Lymphoma;Recurrent Adult Diffuse Small Cleaved Cell Lymphoma;Recurrent Adult Hodgkin Lymphoma;Recurrent Adult Immunoblastic Large Cell Lymphoma;Recurrent Adult Lymphoblastic Lymphoma;Recurrent Adult T-cell Leukemia/Lymphoma;Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma;Recurrent Grade 1 Follicular Lymphoma;Recurrent Grade 2 Follicular Lymphoma;Recurrent Grade 3 Follicular Lymphoma;Recurrent Mantle Cell Lymphoma;Recurrent Marginal Zone Lymphoma;Recurrent Mycosis Fungoides/Sezary Syndrome;Recurrent Small Lymphocytic Lymphoma;Refractory Chronic Lymphocytic Leukemia;Refractory Hairy Cell Leukemia;Refractory Multiple Myeloma;Relapsing Chronic Myelogenous Leukemia;Secondary Acute Myeloid Leukemia;Secondary Myelodysplastic Syndromes;Small Intestine Lymphoma;Splenic Marginal Zone Lymphoma;Stage IV Adult Burkitt Lymphoma;Stage IV Adult Diffuse Large Cell Lymphoma;Stage IV Adult Diffuse Mixed Cell Lymphoma;Stage IV Adult Diffuse Small Cleaved Cell Lymphoma;Stage IV Adult Hodgkin Lymphoma;Stage IV Adult Immunoblastic Large Cell Lymphoma;Stage IV Adult Lymphoblastic Lymphoma;Stage IV Adult T-cell Leukemia/Lymphoma;Stage IV Chronic Lymphocytic Leukemia;Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma;Stage IV Grade 1 Follicular Lymphoma;Stage IV Grade 2 Follicular Lymphoma;Stage IV Grade 3 Follicular Lymphoma;Stage IV Mantle Cell Lymphoma;Stage IV Marginal Zone Lymphoma;Stage IV Mycosis Fungoides/Sezary Syndrome;Stage IV Small Lymphocytic Lymphoma;T-cell Large Granular Lymphocyte Leukemia;Unspecified Adult Solid Tumor, Protocol Specific;Untreated Adult Acute Lymphoblastic Leukemia;Untreated Adult Acute Myeloid Leukemia;Untreated Hairy Cell Leukemia;Waldenström Macroglobulinemia
NCT02292173	NCT02292173:Phase 1:Hepatocellular Cancer;Liver Cancer
NCT02070549	NCT02070549:Phase 1:Advanced Malignant Solid Neoplasm;Hepatic Complication;Metastatic Malignant Neoplasm in the Liver;Metastatic Malignant Solid Neoplasm;Unresectable Solid Neoplasm
NCT00508001	NCT00508001:Phase 2:Carcinoma, Hepatocellular
NCT03319459	NCT03319459:Phase 1:HER2 Positive Gastric Cancer;Colorectal Cancer;Head and Neck Squamous Cell Carcinoma;EGFR Positive Solid Tumor;Advanced Solid Tumors;HER2-positive Breast Cancer;Hepatocellular Carcinoma;Small Cell Lung Cancer;Renal Cell Carcinoma;Pancreas Cancer
NCT01953926	NCT01953926:Phase 2:Malignant Solid Tumor;Fibrolamellar Carcinoma
NCT02270034	NCT02270034:Phase 1:Glioblastoma Multiforme (Grade IV) of Cerebellum
NCT02186821	NCT02186821:Phase 2:Tumors With Aberrations in ALK or ROS1
NCT00110019	NCT00110019:Phase 3:Mucosal Melanoma;Recurrent Melanoma;Stage IIIA Skin Melanoma;Stage IIIB Skin Melanoma;Stage IIIC Skin Melanoma;Stage IV Skin Melanoma
NCT00300885	NCT00300885:Phase 3:Carcinoma, Non-Small Cell Lung
NCT00449033	NCT00449033:Phase 3:Carcinoma, Non-Small-Cell Lung
NCT00541021	NCT00541021:Phase 3:Pancreatic Cancer
NCT00558636	NCT00558636:Phase 3:Carcinoma, Non-Small-Cell Lung
NCT00287976	NCT00287976:Phase 2:Liver Cancer
NCT00861783	NCT00861783:Phase 1:Hepatoma;Advanced Solid Tumor
NCT00980239	NCT00980239:Phase 1:Liver Cancer;Advanced Cancer
NCT03533582	NCT03533582:Phase 2|Phase 3:Childhood Hepatocellular Carcinoma;Childhood Malignant Liver Neoplasm;Elevated Alpha-Fetoprotein;Hepatoblastoma;SMARCB1 Gene Mutation
NCT00143403	NCT00143403:Phase 3:Colorectal Neoplasms;Liver Neoplasms
NCT00537121	NCT00537121:Phase 1:Esophageal Cancer;Gastric Cancer;Liver Cancer
NCT00980460	NCT00980460:Phase 3:PRETEXT Stage 1 Hepatoblastoma;PRETEXT Stage 2 Hepatoblastoma;PRETEXT Stage 3 Hepatoblastoma;PRETEXT Stage 4 Hepatoblastoma
NCT00020501	NCT00020501:Phase 3:Colorectal Cancer;Metastatic Cancer
NCT00654160	NCT00654160:Phase 1:Anal Cancer;Carcinoma of the Appendix;Colorectal Cancer;Esophageal Cancer;Extrahepatic Bile Duct Cancer;Gallbladder Cancer;Gastric Cancer;Gastrointestinal Carcinoid Tumor;Gastrointestinal Stromal Tumor;Liver Cancer;Pancreatic Cancer;Small Intestine Cancer
NCT00003427	NCT00003427:Phase 1:Anal Cancer;Colorectal Cancer;Esophageal Cancer;Extrahepatic Bile Duct Cancer;Gallbladder Cancer;Gastric Cancer;Gastrointestinal Carcinoid Tumor;Liver Cancer;Pancreatic Cancer;Small Intestine Cancer
NCT00031681	NCT00031681:Phase 1:Advanced Adult Primary Liver Cancer;Carcinoma of the Appendix;Estrogen Receptor-negative Breast Cancer;Extensive Stage Small Cell Lung Cancer;Gastrointestinal Stromal Tumor;HER2-negative Breast Cancer;Metastatic Gastrointestinal Carcinoid Tumor;Ovarian Sarcoma;Ovarian Stromal Cancer;Progesterone Receptor-negative Breast Cancer;Recurrent Adenoid Cystic Carcinoma of the Oral Cavity;Recurrent Adult Primary Liver Cancer;Recurrent Anal Cancer;Recurrent Basal Cell Carcinoma of the Lip;Recurrent Borderline Ovarian Surface Epithelial-stromal Tumor;Recurrent Breast Cancer;Recurrent Cervical Cancer;Recurrent Colon Cancer;Recurrent Endometrial Carcinoma;Recurrent Esophageal Cancer;Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Recurrent Extrahepatic Bile Duct Cancer;Recurrent Gallbladder Cancer;Recurrent Gastric Cancer;Recurrent Gastrointestinal Carcinoid Tumor;Recurrent Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Recurrent Lymphoepithelioma of the Nasopharynx;Recurrent Lymphoepithelioma of the Oropharynx;Recurrent Metastatic Squamous Neck Cancer With Occult Primary;Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Recurrent Mucoepidermoid Carcinoma of the Oral Cavity;Recurrent Non-small Cell Lung Cancer;Recurrent Ovarian Epithelial Cancer;Recurrent Ovarian Germ Cell Tumor;Recurrent Pancreatic Cancer;Recurrent Prostate Cancer;Recurrent Rectal Cancer;Recurrent Salivary Gland Cancer;Recurrent Small Cell Lung Cancer;Recurrent Small Intestine Cancer;Recurrent Squamous Cell Carcinoma of the Hypopharynx;Recurrent Squamous Cell Carcinoma of the Larynx;Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity;Recurrent Squamous Cell Carcinoma of the Nasopharynx;Recurrent Squamous Cell Carcinoma of the Oropharynx;Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Recurrent Verrucous Carcinoma of the Larynx;Recurrent Verrucous Carcinoma of the Oral Cavity;Small Intestine Adenocarcinoma;Small Intestine Leiomyosarcoma;Small Intestine Lymphoma;Stage IV Adenoid Cystic Carcinoma of the Oral Cavity;Stage IV Anal Cancer;Stage IV Basal Cell Carcinoma of the Lip;Stage IV Borderline Ovarian Surface Epithelial-stromal Tumor;Stage IV Breast Cancer;Stage IV Colon Cancer;Stage IV Endometrial Carcinoma;Stage IV Esophageal Cancer;Stage IV Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity;Stage IV Gastric Cancer;Stage IV Inverted Papilloma of the Paranasal Sinus and Nasal Cavity;Stage IV Lymphoepithelioma of the Nasopharynx;Stage IV Lymphoepithelioma of the Oropharynx;Stage IV Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity;Stage IV Mucoepidermoid Carcinoma of the Oral Cavity;Stage IV Non-small Cell Lung Cancer;Stage IV Ovarian Epithelial Cancer;Stage IV Ovarian Germ Cell Tumor;Stage IV Pancreatic Cancer;Stage IV Prostate Cancer;Stage IV Rectal Cancer;Stage IV Salivary Gland Cancer;Stage IV Squamous Cell Carcinoma of the Hypopharynx;Stage IV Squamous Cell Carcinoma of the Larynx;Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity;Stage IV Squamous Cell Carcinoma of the Nasopharynx;Stage IV Squamous Cell Carcinoma of the Oropharynx;Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity;Stage IV Verrucous Carcinoma of the Larynx;Stage IV Verrucous Carcinoma of the Oral Cavity;Stage IVA Cervical Cancer;Stage IVB Cervical Cancer;Triple-negative Breast Cancer;Unresectable Extrahepatic Bile Duct Cancer;Unresectable Gallbladder Cancer;Unspecified Adult Solid Tumor, Protocol Specific;Untreated Metastatic Squamous Neck Cancer With Occult Primary
NCT01643499	NCT01643499:Phase 1:Acinar Cell Adenocarcinoma of the Pancreas;Adenocarcinoma of the Gallbladder;Adenocarcinoma of Unknown Primary;Adult Primary Cholangiocellular Carcinoma;Advanced Adult Primary Liver Cancer;Cholangiocarcinoma of the Extrahepatic Bile Duct;Cholangiocarcinoma of the Gallbladder;Diffuse Adenocarcinoma of the Stomach;Duct Cell Adenocarcinoma of the Pancreas;Intestinal Adenocarcinoma of the Stomach;Localized Unresectable Adult Primary Liver Cancer;Metastatic Carcinoma of Unknown Primary;Metastatic Extrahepatic Bile Duct Cancer;Mixed Adenocarcinoma of the Stomach;Mucinous Adenocarcinoma of the Colon;Mucinous Adenocarcinoma of the Rectum;Newly Diagnosed Carcinoma of Unknown Primary;Signet Ring Adenocarcinoma of the Colon;Signet Ring Adenocarcinoma of the Rectum;Stage III Pancreatic Cancer;Stage IIIA Colon Cancer;Stage IIIA Gallbladder Cancer;Stage IIIA Gastric Cancer;Stage IIIA Rectal Cancer;Stage IIIB Colon Cancer;Stage IIIB Gallbladder Cancer;Stage IIIB Gastric Cancer;Stage IIIB Rectal Cancer;Stage IIIC Colon Cancer;Stage IIIC Gastric Cancer;Stage IIIC Rectal Cancer;Stage IV Gastric Cancer;Stage IV Pancreatic Cancer;Stage IVA Colon Cancer;Stage IVA Gallbladder Cancer;Stage IVA Rectal Cancer;Stage IVB Colon Cancer;Stage IVB Gallbladder Cancer;Stage IVB Rectal Cancer;Unresectable Extrahepatic Bile Duct Cancer
NCT03493048	NCT03493048:Phase 2:Colo-rectal Cancer;Liver Metastases
NCT03493061	NCT03493061:Phase 2:Colo-rectal Cancer;Liver Metastases
NCT00101270	NCT00101270:Phase 1:Childhood Burkitt Lymphoma;Childhood Central Nervous System Germ Cell Tumor;Childhood Diffuse Large Cell Lymphoma;Childhood Grade III Lymphomatoid Granulomatosis;Childhood Immunoblastic Large Cell Lymphoma;Recurrent Childhood Brain Stem Glioma;Recurrent Childhood Cerebellar Astrocytoma;Recurrent Childhood Cerebral Astrocytoma;Recurrent Childhood Ependymoma;Recurrent Childhood Grade III Lymphomatoid Granulomatosis;Recurrent Childhood Large Cell Lymphoma;Recurrent Childhood Liver Cancer;Recurrent Childhood Lymphoblastic Lymphoma;Recurrent Childhood Malignant Germ Cell Tumor;Recurrent Childhood Medulloblastoma;Recurrent Childhood Rhabdomyosarcoma;Recurrent Childhood Small Noncleaved Cell Lymphoma;Recurrent Childhood Soft Tissue Sarcoma;Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor;Recurrent Childhood Visual Pathway Glioma;Recurrent Colon Cancer;Recurrent Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor;Recurrent Melanoma;Recurrent Nasopharyngeal Cancer;Recurrent Neuroblastoma;Recurrent Osteosarcoma;Recurrent Wilms Tumor and Other Childhood Kidney Tumors;Recurrent/Refractory Childhood Hodgkin Lymphoma;Unspecified Childhood Solid Tumor, Protocol Specific
NCT01442935	NCT01442935:Phase 2:Colorectal Cancer
NCT03366155	NCT03366155:Phase 2:Colorectal Cancer;Liver Metastases;Colorectal Adenocarcinoma;Colorectal Cancer With Hepatic Metastases;Colorectal Carcinoma
NCT00003867	NCT00003867:Phase 1:Cancer
NCT03017326	NCT03017326:Phase 3:Hepatoblastoma;Carcinoma, Hepatocellular
NCT00635323	NCT00635323:Phase 2:Carcinoma, Hepatocellular
NCT00941655	NCT00941655:Phase 3:Gastric Cancer
NCT00408551	NCT00408551:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT01226719	NCT01226719:Phase 2:Colorectal Cancer
NCT00513266	NCT00513266:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT00023868	NCT00023868:Phase 3:Colorectal Cancer;Metastatic Cancer
NCT03069950	NCT03069950:Phase 2:Colorectal Adenocarcinoma Metastatic to the Liver
NCT01802645	NCT01802645:Phase 2:Colorectal Cancer
NCT00063960	NCT00063960:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT00557102	NCT00557102:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT00003368	NCT00003368:Phase 1:Lymphoma;Small Intestine Cancer;Unspecified Adult Solid Tumor, Protocol Specific
NCT00003753	NCT00003753:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT00492999	NCT00492999:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT00037804	NCT00037804:Phase 1:Unspecified Adult Solid Tumor;Chemotherapy;Liver Dysfunction;Neoplasms, Solid Tumor
NCT00030563	NCT00030563:Phase 2:Colorectal Cancer;Metastatic Cancer
NCT01564810	NCT01564810:Phase 4:Colorectal Neoplasms;Neoplasm Metastasis;Liver Neoplasms
